,사고원인,재발방지대책 및 향후조치계획
5287,조립이 진행중인 강관비계 작업발판 위에서 안전난간대 설치완료 전까지의 추락방호를 위한 작업 중 조치 미흡 및 관리감독자 안전통제 미이행(작업자 부주의 포함),"사고사례 전파 및 관련 특별안전교육 시행, 일일 작업전 안전점검 및 안전교육 철저 시행으로 작업자 안전의식 고취, 안전관리감독 철저 및 안전시설물 설치 시 관리감독자 상주."
5498,말비계 다리가 엑세스플로어 코너부위 시공불량 부위에 위치하여 말비계가 기울어져 작업자가 말비계에서 추락,"엑세스플로어 코너부위 전수조사 및 불량 시공부위 재시공, 엑세스플로어 위 말비계 설치 시 바닥면 이상 유무 확인 및 작업 지시, 코너부위 받침 철저 시공과 시공 관리 철저."
1938,무의식중 행동과 비계 자재적재 하지 말기 와 작업 후 정리정돈 철저 및 공사 순서의 숙지 안전교육 미흡이 사고 원인 됨,"부적절한 작업자 사용 금지, 안전교육 및 T.B.M 적극 활용, 사전 작업 순서 숙지, 위험부 관리, 공사 후 정리 정돈 철저, 구조적 결함 사전 발견 및 안전 조치 시행."
22785,가설비계 승강사다리 이동 후 슬라이드 발판 덮개 재설치를 하지 않음.,"비계 상강로 사용 시 상시 닫힘 상태 경고 문구 부착, 사고사례 전파 및 근로자 안전교육 실시, 비계 승갈로 오픈 시 경고음 발생 시스템 구축을 통한 재발 방지 대책 마련."
21500,틀비계에서 내려오다 발을 헛디뎌 떨어짐,"작업 시작 전 당일 작업 내용에 대한 위험 요인의 지속적인 교육, 순회 점검의 강화, 고소 작업 시 2인 1조 작업 및 승하강 시 안전벨트 착용과 이동 관리 감독의 철저함."
1781,내부 벽체판넬 설치작업을 위해 틀비계상부에서 점검 중 추락,"안전관리감독 강화, 작업구역 설정, 작업 전 안전교육 강화, 관련기관 추가 조사 신속 및 성실 대응, 자체 산업안전위원회 개최를 통한 원인조사 결과 및 재발방지대책 수립."
11462,"당일 현장에 처음 투입된 작업자로, 현장 구조에 익숙하지 않아 비계 위에서 발을 헛디딘 것으로 파악","비계 사용 전 현장관리자 확인, 현장에 투입되는 모든 직원 대상 안전교육 재실시, 개인보호장비 지급 확인 및 상시 현장 점검, 상시 현장점검을 통한 현장 안전 관리 실시."
9390,지선교 교대2 비계발판 설치 작업중 비계1단 2m에 설치된 비계 난간대 재설치과정에서 연결부를 망치를 이용하여  결합시도중 무게중심을 잃어 떨어짐사고 발생,"근로자 투입 시 작업에 대한 공종 및 위험요소 교육 실시, 작업 시 안전대 결속 및 경고 철저, 작업 이해도 교육 강화, 고소 작업 시 안전보호구 착용 및 특별교육 실시."
4161,작업자간 신호확인 미흡으로 시스템 비계 가새가 낙하하여 낙하하는 물체에 맞아 우측 어깨 견갑골이 골절되는 재해,"작업 전 TBM을 통해 주요 작업 및 위험 요인을 파악하고 근로자 특별안전교육을 통해 주요 위험 작업 상황을 재교육하며, 현장 안전관리를 철저히 하고 지도하는 조치 계획."
4261,시스템 비계 안전발판이 제대로 고정되어 있지 않은 상황에서 비계 발판을 밟은 근로자가 안전발판과 함께 2.1m 아래 바닥으로 추락한 것으로 추정됨,공사장 내 시스템 비계와 안전발판 설치상태 전수 점검 및 작업자 추가 교육 실시와 발주청의 조치 요구사항 현장 확인 및 승인 후 공사 재개를 통한 안전한 작업 환경 조성.
15296,이동식틀비계 하강중에는 사족보행을 하여야 하나 한손에 작업도구를 들고 내려오면서 불안전한 행동으로 넘어진 사고임,"현장관리감독자의 안전에 대한 지도 및 감독 강화, 사다리 승강 및 하행 시 사족보행 이행 철저, 2인 1조 작업 실시 원칙, 작업도구 달줄 사용 및 안전교육 실시 강화."
17116,말비계 작업후 바닥착지시 바닥에 벽돌 인지 못하고 착지하여 부상 발생.,"현장 말비계 작업 시 2인 1조 작업을 하도록 하도급업체 및 시공사에 지시하고, 작업 전 사전 안전 교육을 철저히 실시하며 특히 신규 채용자 교육을 강화하는 조치 계획."
6435,비계 파이프 1개가 계단 작업발판에 가로로 설치되어 계단 통행 시 미끄러질 위험성 유발,"계단 작업발판에 비계파이프 제거와 현장 방문을 통한 지속적 유지 관찰 및 부상자 경과 보고, 동일 공종에서 부상자 발생 방지를 위한 발주자의 재발 방지 대책 수립 강구."
10395,비계  밑둥잡이 돌출부에 발이 걸려 넘어짐,"비계 하부 이동 동선에서의 발걸림 경고 표지 추가 설치와 사고 및 유사 사례에 대한 전파 및 교육 실시, 장애물 존재 시 주의 표시 설치 요청을 포함한 재발 방지 대책."
18311,"내부 건물 상층부(4층) 철거 후 외부 비계 및 분진망 해체를 위해 상부로 이동중 외부 비계가 기울어지며, 고압선에 접촉/감전되어 2~3층(8~9M) 높이에서 추락한 것으로 추정",위험노출 구간에 대한 고압선 방호커버작업 이행 요청과 공사현장 안전관리에 대한 철저한 유념 및 고압선 방호캡 설치 시 협의 후 이행 요구 사항이 포함된 재발 방지 대책.
23298,시스템 비계 1단에서 뒤로 이동하면서 타이핀을 제거 작업중 열려있던 해치발판을 확인하지 못하고 아래로 추락,근로자 작업 전 작업구간에 대한 사전확인 및 개구부 발견 시 조치완료 후 작업 실시와 진천성모병원에 대기중인 안전관리자와의 지속적인 통화를 통한 사고 작업자 상태파악.
1764,크레인 세팅 작업 후 1m 높이의 말비계에서 지상으로 내려오다가 균형을 잃고 넘어지면서 땅바닥에 손목을 짚어 오른쪽 손목이 골절됨,"잠재위험 요인과 예방대책에 대한 위험성 평가 실시, 관련 작업자들의 정기적인 교육 및 작업 전후 안전교육 실시, 잠재 위험요인 확인 및 제거, 안전사고 예방대책 마련."
3346,"비계 설치작업 중 비계 파이프, 배관자재 등 주변 구조물에 부딪힐 위험","작업계획 수립 시 작업구간 및 이동구간의 구조물(장애물) 파악과 그에 맞는 동선 계획, 비계 설치구간 내 튀어나온 구조물에 대한 '충돌주의' 표식 및 보양조치 필요성."
15795,"작업자는 목수반장으로 장성읍 영천리 1493-10번지 신세계요양원 신축현장 작업전, 3층 외부 옹벽 거푸집 긴결 작업을 위해 비계로 이동하려고 넘어가던 중 중심을 잃고 2층 계단참에서 건축외벽과 시스템비계 사이 1층 바닥으로 떨어졌음. 이동시 통로를 이용하여야 하나 빠른 이동을 위해 이동통로가 아닌 곳으로 이동하려다 중심을 잃고 떨어지면서 재해가 발생됨",작업자 안전교육 실시와 관리자 사전점검 철저를 통한 이동통로 이용 및 안전한 이동 확보와 노유자시설 건축공사현장 관리자 안전관리 강화 및 작업자 수시 교육 실시 계획.
7419,작업위치에 적정한 높이의 말비계 사용으로 불안전한 행동 유발로 말비계상부에서 발을 헛디뎌 발생한 재해임,현장 내 사용 말비계 전수 검수 실시와 TBM 시 안전교육 실시를 통한 안전교육 및 안전시설물 보완 계획 수립과 산업재해조사표 작성 후 고용노동부 평택지청 제출 예정.
4995,라북도 전주시 덕진구 덕진동2가 200-6 소재 전주 덕진공원 루엘관광호텔 신축공사 현장에서4M 높이의 거푸집 유로폼 헤체하던중 벽 해체시 몸의 균형을 잃어 비계와 벽사이의 틈으로 추락하게됨,해체 시 비계와 벽 사이의 비어있는 공간 인지 및 몸의 무게 중심을 안쪽으로 의지하는 방심 방지와 현장에서의 철저한 사전 교육 및 사건 발생 시 조치사항 마련 필요성.
2950,"○ 7/7 전날까지 본 현장 지하는 출입이 금지되어 있었으나 7/7 시공사는 출입해제하고 작업자에게 지하층 자재 반출 및 정리 작업 지시함○ 작업자 작업 전 시공사에서 외부 분전함(1층)에서 차단기를 올려 점등하여야 하나 점등이 늦어지자 작업자 핸드폰 불빛에 의지 작업장소로 이동○ 전이보등 시공으로 골조 배부름, 형틀 터짐 사고등을 방지하기 위해 시스템 비계를 사용하였으나, 이동 동선에 불편","근로자 부주의 관련 교육 강화, 기상악화 시 임시작업 중단을 통한 작업자의 불안전한 행동 관리, 현장 정리 정돈 철저 관리, 거푸집 해체 후 플레타이 즉시 제거 조치."
10625,2022년 3월 16일 13:10분 합벽거푸집 해체작업을 위해 비계상부에서 작업자가 거푸집 해체 및 핀작업중 기존 생성된 발판높이가 부족하여 임의로 비계발판을 해체하고 중간난간에 작업발판을 걸쳐놓은 후 올라서서 작업중(안전고리 미체결)임의설치한 작업발판에서 이동하려다 걸쳐둔 작업발판이 탈락하여 비계내부로 추락함(높이2.4m),"강관비계 설치 및 유지관리, 현장 비계 점검과 보수, 근로자 안전교육 및 안전고리 점검, 비계 내 작업발판 설치 금지, 산업재해조사표 제출 및 적법한 사고 처리 예정."
7064,"비계공이 견출작어용 작업발판 연장 설치 작업 중 작업발판 걸이 부분 불량으로 비계 파이프-작업발판 조립에 어려움을 겪자, 시놋대로 발판을 두드려서 끼워 조립하던 중 발판을 잡고 있던 오른손 엄지손가락을 시놋대로 타격","자재 관리 철저, 손망실 및 변형 자재에 대한 조치, 사고사례 예방교육 실시, 작업장별 관리자 상주 감독 강화와 유사 사고 재발 방지를 위한 사례 예방교육 실시 확인."
4812,1층 화장실 벽체 타일 줄눈 작업 시 작업자가 말비계에서 작업하는 것을 잠시 숙지하지 못하고 작업에 열중하다 이동시 사고 발생,"현장 내 작업 시 접이식 사다리는 모든 공정에서 사용을 자제하며, 부득이하게 사다리를 사용해야 할 경우 관리자의 관리하에 보조자를 사다리 옆에 배치하여 사용하는 방안."
18563,골조공사 중 외부 비계 해체작업시 파이프를 내리는 과정에서 아래에 있던 작업자의 눈에 철선이 떨어지면서 눈에 상해를 당함,"철저한 안전교육 진행, 안전사항 숙지, 스트레칭 및 안전보호구 장비 착용 점검, 건축공사장 안전관리 지시, 공사관계자 교육 강조, 안전보호구 착용 현장점검 실시 예정."
12591,비계 발판이 완전히 닫히지 않은 상태에서 작업,오전/오후 작업 종료 후 마무리 TBM 실시와 비계 내부 자재 받아치기 작업 시 안전고리 체결 상태로 작업 실시 및 비계 내 작업 전 발판 이음새 마무리 확인 요청.
15694,"10M 떨어진 옥상(사고난 곳 보다는 3M 낮은위치)에 있던 현장대리인이 본 사고순간의  모습으로는 재해자가 이동하려는  모션만 보여 구체적인 사고원인은 알 수 없는데, 2차적인 원인은 시스템비계의 설치높이와 그물망 미설치 등 시공적요인과 작업자의 안전줄 미착용 등이 복합적 원인으로 보임","각종 안전시설 설치와 개인용구 착용, 고소공사 현장에서의 불필요한 행동 및 이동 최소화, 자재 이동의 기계화 작업 대체를 통한 위해요소 제거와 충분한 안전교육 실시."
265,"작업 전 비계에 있던 잔류수 미 확인, 비닐 제거시 하부에서 제거하여 접촉","비계 해체 작업 전 잔류수 확인, 비닐 제거 시 상부에서 비닐 제거하여 접촉 위험을 제거하고, 내화학복 착용 후 틈새를 없도록 보강하며 안전관리를 철저히 하는 조치."
19609,재해자가 이동식비계 탑승한채로 비계 이동,전 근로자 이동식 비계 표준사용방법 및 마감작업자 특별안전교육 실시와 이동식 비계 상부 2단 난간대 추가 설치를 통한 근로자 교육 철저 및 관련 비계 안전시설 보강.
5372,23년 2월 28일 10시 25분경 105동 1구간 6층 벽체 철근 작업장에서 말비계를 설비 슬리브 덮개자리 위에 올려두고 작업중 재해자의 몸무게를 버티지 못하고 슬리브 덮개가 파손되며 말비계 우측 지지대가 슬리브로 빠셔 기울어지면서 말비계 상부에서 작업중이던 재해자가 중심을 잃고 떨어짐,말비계 설치 시 평탄하고 견고한 장소에 설치하거나 합판 등 보조시설 설치를 위한 안전교육 실시와 동일 및 유사사례 재발 방지를 위한 사고사례 공유 및 안전교육 실시.
17155,벽체와 말비계 사이 틈으로 왼쪽발이 빠지면서 왼쪽 어깨를 벽체와 충돌,"고소 작업 근로자 전원 교육 실시와 작업 보조 시설물에 대한 작업 전 상태 점검, 시공사 및 감리자에게 건설공사자 추락사고 등 안전사고 예방을 위한 관리 철저 요청."
2099,창신2동앞 비계 자재 정리작업 중 세워놓은 비계 파이프가 넘어져 좌측어깨 부딪힘,"매일 작업 전 TBM 실시와 작업방법 교육, 비계 자재 받아치기 및 세워서 적재금지 관리, 공사장 자체 안전점검 실시 및 안전사고 재발방지를 위한 대책 수립과 제출."
12149,기계식 주차장 비계와 건물 벽 사이 추락방호망 부재로 인한 추락사고,"건물 내부 및 외부 비계 중간 난간대 설치와 추락 방호망 설치, 개구부 덮개 및 창호부 안전 난간대 전면 보강 조치와 함께 현장 조사 및 안전 조치 보강이 이루어짐."
1067,비계발판 상부에서 이동중 근로자의 부주의로 인한 미끄러짐 발생,"일일 위험성 평가와 TBM 안전교육 실시, 비계 발판 자재 적치 금지 및 정리정돈, 작업지휘자 배치, 근로자 부주의에 대한 주의사항 및 안전사고 사례 안전교육 실시."
9660,비계 승강로에서 내려오며 마지막 답단에서 미끄러지면서 해치발판 경첩부위에 지지하고 있던 오른쪽 손가락이 끼이며 엄지 손가락 골절 발생,"고소작업구간 관리감독 및 점검활동 강화, 작업순서 및 비계 상부 이동 시 협착과 추락 등에 관한 사항 전파와 작업자 특별교육 실시 및 재발방지조치 이행 결과 확인."
22518,"1. 하청업체 목수반장 : 오전작업을 끝낸 크레인 운전자가 오후작업을 위해 크레인을 이동하자, 크레인을 부른 하청업체(에스원건설) 목수반장이 그 부분은 어제 내린 비로 지반이 약할 수 있으니까 원지반쪽으로 위치를 잡으면 좋겠다고 주의를 주고 거푸집 해체를 하는 직원들에게 돌아 갔음.2. 크레인 운전자 : 에스원건설 목수반장이 알려준 위치에서 약간 이동하여 자리를 잡아, 건물쪽 1차 아웃트리거에 유압을 가하자 지반이 침하하여 아웃트리거를 접고 각목과 합판으로 보강한 후 다시 1차 아웃트리거를 설치하자 지반이 더 이상 침하하지 않아 나머지 3개 아웃트리거를 펴서 중심을 잡았으며, 붐대를 펼쳐 해체된 거푸집을 인양하려고 유압을 가하자 1차 아웃트리거가 연약지반으로 미끄러지면서 크레인이 건물쪽으로 기울어져 외부비계에 붐대가 걸쳐지면서 꺽여졌음.","지반상태 확인 및 약한 지반 보강작업 교육과 현장 확인, 자차보험 미가입 크레인 운행으로 인한 부정당한 관행 척결, 사고 크레인 철거를 통한 재발 방지 대책 마련."
11909,비계 상부의 건축 공구 정리 미흡 및 작업자 작업 위치 선정 미흡,"안전교육 실시, 비계 해체 작업 시 상하부 분리 작업 교육, 비계 상부 건축 공구 정리 교육, 작업자 작업 위치를 위한 구획 설정, 지속적인 안전관리 및 시공관리."
19670,"거푸집 시공을 위해 설치된 가설 작업발판(비계)의 결속이 불량하였으나, 인지하지 못하고 후속공정(형틀목공)을 진행하다 작업발판 탈락되어 작업자 추락하는 재해 발생","근로자 안전교육 실시와 협력업체 상주 관리, 안전대 착용 후 작업 및 시스템비계 설치, 행정지도에 따른 안전교육 이행, 가설작업발판 해체 및 시스템비계 설치 지시."
4951,"계단실 작업을 위해 비계 작업발판을 설치하였으나 작업을 하면서 일부 발판을 해체함.작업이 완전히 끝나기 전까지는 발판을 해체하면 안됨,해체부분 재조립후 작업하여야 하나 ,작업을 마친곳중 미흡한 부분이 발생하여 우마를 설치하여 작업을 하려다 사고발생","현장 지도 감독 강화, 안저교육 및 사고 사례 자체 교육 실시와 함께 현장 방문 안전 지도 및 안전 교육 실시, 안전 의식 교육 강화를 통한 재발 방지 대책 마련."
765,재해자 고상규가 뿜칠(도장)작업전 보양 작업중 이동식틀비계 2단 상부에서 작업을 마치고 내려오다 미끄러져 추락(개인안전장구인 안전벨트 걸고리 미체결),"작업장 정리정돈 철저 및 청결 관리, 전 근로자들의 작업안전수칙 및 특별안전보건교육 실시, 개인안전장구 착용 철저 교육, 이동식틀비계 설치기준 준수 안전교육 실시."
249,4층 공유주방과 독립형작업실의 내부 조적벽체 벽돌쌓기 작업 중 틀비계 상부 약 1.6M 높이에서 추락,"근로자 안전교육 실시 강화, 벽돌쌓기 2단 이상 작업 시 작업대 안전시설 설치 철저, 일일 TBM 사고사례 전파 및 재발 방지 대책 수립, 재해자 산재 처리 예정."
18986,견출공이 시스템 비계 2단에서 3단으로 이동 중 벽이음 지지대를 밝고 올라가던 중 근로자 떨어짐,관리감독자 및 작업 근로자 안전교육 실시와 작업 시작 전 TBM 시간에 근로자의 불안전한 행동 및 행위에 대한 설명 및 조치 사항 알림을 통한 안전교육 철저 지시.
20353,비계파이프 철거 중 비계파이프 추락 및 충격으로 인한 하부작업자 손가락 골절,작업 전 안전교육 실시와 거푸집 등 해체작업 시 신호수 배치에 따른 재발 방지 대책과 사고 발생 즉시 진단 및 치료 완료 후 치료 경과 확인을 통한 종결처리 예정.
23410,"비계 이음봉 해체를 위해 건물과 연결된 이음새 부분을 풀고, 이동하기 위해 안전벨트를 풀었을 때, 건물 외벽 벽돌이 무너져 비계구조물을 강타하였고, 이로인해 비계구조물이 흔들려 작업자가 추락하였음.","추후 건설현장에서의 사고 예방을 위한 작업 전 안전교육의 내용 및 중요성 강조와 작업자 안전보호구 점검 강화, 사고현장 조사 및 부상당한 작업자의 산재처리 완료."
23166,거푸집조립완료후 이동식비계에서 내려오던중 발을 헛디뎌 사고발생.,"수시 안전 점검 및 관리 감독자 배치와 이동식 비계 승하강 시 안전대 고리 체결 확인, 이동식 비계 사용 구간 및 추락 위험 구간 수시 점검이 포함된 조치 계획."
10704,손길이 닿지 않는곳을 작업할때에는 작업받침대를 설치하고 작업을 해야하나 비계수평재를 밟고 올라가서 작업중 미끄러짐에 의한  추락,"작업 전 TBM 시 작업 순서 및 범위, 절차 등을 공지하고 작업 시 순찰을 강화하여 부적합 작업에 대한 관리 철저와 지속적인 안전 교육을 통한 사고 예방 조치."
10272,비계설치작업을 위해 자재(작업발판) 운반중 미끄러지면서 발판을 놓침,"건설사업관리단의 안전담당이 시공사와 하도급업체의 근로자에게 특별안전교육 및 작업 전후 관리의 중요성을 교육하고, 맞춤 교육을 통해 안전교육을 강화하는 조치 계획."
23135,문주 시스템비계 상부에서 자재를 들고서 이동 중에 발을 헛디뎌 넘어지면서 시스템비계 난간 부분에 우측 어깨를 부딪혀 발생함,"시스템비계 이용 작업자 안전교육 재실시, TBM 강화, 안전관리자 수시 순회점검 및 현장점검 강화 지도와 기간을 정한 작업자 지속적 관리로 인한 재발 방지 대책."
16433,작업전 작업대(말비계)의 관리상태 미확인말비계불량,"작업 전 말비계 관리상태 확인, 근로자 안전교육 강화 및 안전수칙 이행상태 수시 확인, 접이식 말비계 사용 금지와 향후 조치 계획으로 근로자 안전교육 철저 시행."
3869,"초기우수처리시설 구조물 내부 거푸집 제거를 위해 시스템비계 작업발판 위에서 작업중 미끄러져 작업발판과 작업자 늑골충돌로 부상발생(늑골 단일 골절, 전치4주)","안전사고 재발 방지를 위한 작업근로자 특별교육 실시와 관리자 및 작업근로자의 안전관리 철저, 특별안전교육 및 사례 전파, 작업장 수시 점검 강화 등의 조치 계획."
2078,철거작업 중 인접 벽체에 충격발생하여 벽체가 보도쪽으로 낙하하면서 비계 및 낙하방지망을 밀어 비계 기울어짐 사고 발생,비계 및 낙하방지망 철거 작업 전 안전교육 실시와 해체계획서에 제시한 안전관리계획의 철저한 이행 및 준수 여부 확인을 통한 안전의식 고취와 재발 방지 계획 수립.
21488,지그 설치 작업 중 비계 비계 밑둥잡이 파이프에 걸려 넘어져  바닥 고정용 앵글에 엉덩방아를 찧은 사고,"협소구간 작업 전 간섭사항 파악 및 시설물 사전 제거 또는 보양, 정기안전교육 실시와 TBM 시 간섭사항 조치 방법 교육, 구간별 담당자 지정에 의한 밀착 관리."
5916,틀비계 승강시설(사다리) 미설치작업방법 부적정 : 현장자재(유로폼)를 이용한 틀비계 작업구간 이동,"작업방법 준수, 틀비계 승강을 위한 안전시설 설치, 작업전 안전교육 실시, 관리감독자의 작업자 행동 점검 및 특별안전점검 시행, 재해자 산업재해보험 처리 예정."
13138,비계 해체 후 강관 파이프 운반을 위해 인력으로 자재를 받아 하부로 내리는 과정 중 파이프에 묻어 있는 이물질(뿜칠재_펜토라이트)에 장갑이 걸려 새끼 손가락이 뒤틀림,"작업 전 이물질 및 간섭물 여부 사전 확인, 근로자 코팅장갑 착용, 자재 운반 작업 시 파지상태 점검, 재발방지 교육을 통한 동일 및 유사 안전사고 재발 방지."
20357,"고소작업시 이동식 틀비계 설치하여 안전하게 작업하여야 하나, 이동이 편한 사다리를 이용하여 2인1조로보호장구 착용하였으나, 재해자 부주의로 사고가 발생됨","고소작업 시 안전벨트 착용과 안전고리 난간 걸기를 의무화하고, 작업 전 안전의식 고취를 위한 교육을 실시하며, 재해자에 대한 산재처리를 포함한 향후 조치 계획."
14378,손에 자재를 들고 비계 상부로 이동,"비계 상부 이동 시 3점 지지와 달줄 이용한 자재 운반 교육, 무리한 자재 운반 방지 교육 및 현장 관리, 잔여 공사에 따른 안전관리 방안 수립 및 이행 예정."
17578,외벽 외부 인방 타설 후 상부 미장작업 중 비계계단이 아닌 계단 층계참으로 이동하려다 추락한 것으로 추정,"작업자 단독작업 금지, 안전교육 및 보호구 착용 철저, 방호시설 설치 철저, 피해자 상태 지속 확인, 사고 조사를 위한 현장 보존, 사고 재발 방지 계획 수립."
10101,작업자가 말비계에서 내려오면서 부주의로 인해 말비계에 무릎을 부딪힘,"전 작업자 안전사고 사례 전파, 작업 전 스트레칭, 건강 이상 시 즉시 보고, 말비계 사용 시 주의사항 교육과 시설물 조치 및 재발 방지 교육의 확인 및 점검."
14927,* 1층 필로티 외부 비계에서 외부 석재작업을 위한 발판 작업중(H=2.9m) 발을 헛디뎌 1층 바닥으로 추락* 현장조사결과 비계에 안전고리 미체결 및 안전모 부절적 착용,"현장 작업 시작 전 관리자의 안전교육 강화와 해당 현장 사후조치 및 조치계획 이행에 대한 감리자 및 시공자의 확인, 현장 재확인 후 공사 중지 조치 해제 예정."
1950,지하 2층 엘리베이터 벽체 거푸집 설치를 위하여 1단 틀비계 상부에서 작업중 아웃트리거 미설치로 틀비계와 벽체에서 멀어지면서 틀비계와 벽체 사이로 떨어지는 사고가 발생함.,"안전사고 재발 방지를 위한 현장관리자 안전교육 실시, 2인1조 작업 원칙 준수, 안전관리자 안전점검 철저, 공사 현장 확인 후 필요시 안전사고 보완 조치 예정."
14460,"2인1조로 작업을 하지 않았으며, 이동식비계를 이용하지 않고 미끄러운 거푸집을 밟고 이동함.","2인1조 작업, 이동식 비계 설치 및 사용 시 사다리 등 승강시설 설치, 작업발판 단부 안전난간대 설치, 현장 안전사고 예방교육 및 재발 방지 대책 철저 이행."
18174,작업전 작업발판을 사용하여 거푸집 조립작업을 지시함에도 불구하고 작업자가 편의상 비계파이프에서 작업하다가 미끄러짐,"안전불감증으로 인한 사고 발생을 예방하기 위한 안전교육 실시, 작업자들의 안전의식 고양, 작업발판 및 안전도구 사용 철저, 수시 안전순찰 강화 및 지도 계획."
13821,116동 피로티 E/V실에서 외부벽체 시공후 이동중 지정된 통로(시스템비계 안전통로)를 이용하지않고 구조물 창문에서 내부로 뛰어내려서 우측발 뒤꿈치에 재해발생함,"안전교육 시 분안전통로 이용금지 전파 및 위험성평가 전파 교육 실시, 근로자 통로이동에 대한 표지 확충 및 관리감독 철저, 공사장 안전교육 및 안전관리 철저."
13908,3개의 비계파이프를 바닥에 놓는 과정에서 비계파이프간의 충돌로 하나가 튀어 왼쪽 정강이에 맞음,"사전교육 실시와 작업 시 주변환경을 고려한 안전한 작업 감독, 안전관리 철저 요청 및 안전사고 발생 시 신속 보고를 포함한 재발 방지 대책과 향후 조치 계획."
11719,틀비계 사다리를 이용해 내려오다 사다리에 발을 헛디뎌 1.5높이에서 낙상,특비계 사다리 미끄럼방지시설 설치와 근로자 작업전 안전교육 지속 실시를 통한 재발 방지 대책 및 안전시설 설치와 안전교육 지속 실시를 포함한 향후 조치 계획.
17353,작업을 위해 이동중 비계 밑둥잡이를 확인하지 못하여 걸려 넘어짐,"시스템비계와 동바리 하부 작업 시 작업통행로 선 확보, 작업구간 식별 보호조치 및 넘어짐/부딪힘 주의 안내 표지 부착, 잔여 공사 안전관리 및 현장관리 철저."
2937,이동식비계 상부작업(2m이하) 중 작업자 부주의로 추락,"이동식 비계 상부 난간대 설치, 아웃트리거 설치로 작업 중 비계 고정, 2인 1개조 작업, 작업자 안전교육 철저 지시 및 안전장구와 보호조치 상태 점검 철저."
8921,"외부 가설울타리 철거 진행중 중지 후 내려오던 중 , 같이 일하던 작업반장이 사다리를 가져오는 중에 비계 2단(2.3M)에서 혼자 뛰어내림(작업자 부주의)","전 근로자에 대한 T.B.M 활동을 통한 안전교육 및 의식 강조와 수시로 현장 순찰을 통한 안전사고 대비 조치, 감리자 및 시공사에 대한 안전관리 철저 요청."
21960,가설방음벽 비계설치를 위해 이동중 토사에 미끄러짐,"근로자에 대한 교육과 통행로 확보, 사고사례를 통한 재발 방지 교육, 공종별 개인 보호구 지급 및 착용 상태 확인을 포함한 재발 방지 대책과 향후 조치 계획."
981,"행정동 건축물 좌측 캐노피 상부 거푸집 설치 중 추락를 위해 시스템 비계 안전난간대(중부, 상부) 결속 부위 한 곳을 해제하고 작업 중 추락","현장의 위험 요소 사전 파악 및 제거, 근로자에 대한 철저한 안전 교육, 세밀한 시공계획 수립과 본부 경영혁신/사업관리과 일정 수립 후 추가 현장 점검 예정."
12811,B/T 비계 해체 시 근로자의 불안전한 행동,B/T 비계 해체 작업 시 안전한 해체와 지속적인 근로자 교육을 통한 사고 재발 방지 및 해체작업 진행 시 안전교육 철저 지시와 관리자 감독 하 시공 실시.
7626,"다소 과한 하중(작업자2 및 석재 자재)으로 비계 장선 고정용 핀 용접부위 탈락, 작업자 안전고리 미 채결","작업 전 비계 상태 확인, 고소 작업자의 안전벨트 착용 및 안전고리 채결 철저, 작업자에 대한 안전수칙 교육 강화, 시공 및 감리자의 안전 예찰 활동 철저."
23127,시스템비계 보조원으로 1층 램프구간 시스템비계를 해체 하던 중 지지대 선해체 및 작업 순서 미준수로 시스템비계가 하부에서 자재 정리 중이던 재해자에게 무너짐(붕괴),"시스템비계의 작업계획서 준수, 작업지휘자 선정 및 배치, 특별안전교육 강화, 해체시 작업순서 및 방법 재교육 실시, 해체 작업 전 지지대 설치에 대한 조치."
6714,작업전 말비계 고정상태 미확인으로 인해 말비계 다리가 접히면서 상부 작업자가 미끄러짐,"작업 전 작업도구 이상 유무 확인 및 올바른 작업도구 사용법 수시 교육과 2인1조 작업, 안전관리자 순찰 강화를 포함한 재발 방지 대책 및 향후 조치 계획."
23252,철근콘크리트 공사 진행 중 작업인부가 발을 헛디뎌 비계핀에 허리부분이 찔리는 사고 발생,"안전사고 예방을 위한 공사관계자 및 작업인부 대상 안전교육 실시와 사전점검을 통한 위험 요소 확인, 건축공사장에 대한 지속적인 점검을 통한 미연 방지 계획."
11625,시스템비계 설치 작업 중 횡대 설치 후 이동을 위해 계단 난간대를 넘어 내려오던 중 선큰계단 가설난간대 브라켓에 안전대 다리벨트가 걸려 넘어짐,"관리 감독자의 상주 관리와 근로자의 불안전한 행동 감시, TBM 시 작업방법 및 작업순서 교육 실시, 재해사고 사례 전파를 통한 유사 재해 예방 활동 시행."
21419,"작업발판, 이동식비계 미설치 / 임시 발판사용 중 미끄러짐","일체형 계단작업발판 또는 이동식비계 설치 및 확인과 발주처 안전점검, 안전교육 실시, 위험성평가 발주처 참관 실시 등 안전관리 강화를 통한 재발 방지 대책."
185,옥탑 벽체 철근배근 조립 후 접이식 비계에서 내려올 때 발뒷꿈치를 바닥에 부딪혀 골절됨,"작업 전 안전관리 교육 실시, 당일 작업 내용 숙지, 개인 보호구 착용 철저, 충분한 준비 운동을 통한 재해 예방 및 동절기 공사 근골격계 재해 예방 조치."
2557,비계파이프가 차량용 덮개에 걸린 상태로 파이프를 무리하게 잡아 당기다가 우측어깨 인대 파열됨.,"자재 하역 작업 시 2인 1조 작업 실시, 주변 정리 및 불안정한 시설물 제거 후 작업 실시, 발주청 및 건설사업관리단 및 현장대리인 재발 방지 교육 실시."
