,values
139,"
### Input:
모듈 양중 중 작업선에 걸려 넘어지는 분전반을 막으려다 발생
### Response:
작업자 안전교육 실시 및 재발 방지 대책."
140,"
### Input:
사무실 이전 작업의 일환으로 책상 테이프 제거 작업 중 칼날이 미끄러짐에 따라 손가락 베임사고 발생
### Response:
작업 전 안전교육 실시와 사고자 치료 및 재발 방지 대책 마련."
141,"
### Input:
재해자가 오탁방지막 줄에 걸려 있는 상황에서 착오로 굴착기가 오탁방지막 줄을 잡아당겨 사고가 발생
### Response:
작업 전 안전교육 실시와 작업자 관리 철저, 재발 방지 대책 마련."
142,"
### Input:
결빙제거 작업 중 미끄러져 넘어짐
### Response:
작업 전 안전교육 실시 및 안전장비 착용 철저."
143,"
### Input:
차량 결함(브레이크 미작동)
### Response:
사고원인 조사 및 재발 방지 대책 수립."
144,"
### Input:
재해자가 항타기 천공작업 중 오거의 미작동으로 인하여 항타기 조종석 옆 윈치 구역에서 와이어로프를 확인하던 중, 갑작스러운 스크류 오거 작동으로 재해자가 밟고 있던 와이어로프가 움직이면서 접촉 충격으로 인해 재해자가 항타기 외부로 떨어짐
### Response:
항타기 작업 전 안전교육 실시 및 안전관리 철저."
145,"
### Input:
지급받은 안전장구류 미착용 및 자재양중 중장비의 전방주시 소홀
### Response:
안전교육 실시와 작업자 관리 철저."
146,"
### Input:
결빙구간 이동 시 부주의
### Response:
작업자 교육 실시 및 안전교육 강화."
147,"
### Input:
코어채취장비 고정장치 사용 미흡하여 기계 회전으로 타격발생
### Response:
작업 전 안전교육 실시 및 작업자 교육 철저."
148,"
### Input:
가시설공사중 항타기 이동을 위해 바닥에 깔린 철판을 인양하여 옮기던중 철판이 가시설 H-beam과 부딪히면서 흔들렸고 그과정에서 항타기 바깥으로 우측발을 내밀고 있던 장비기사의 우측발이 철판과 차체 사이에 끼이면서 우측 발목이 골절 되는 재해 발생
### Response:
작업 전 안전교육 실시와 작업장 주변 정리정돈 철저, 사고사례 전파 및 향후 재발 방지 대책 마련."
149,"
### Input:
2단 이상 구조틀 적재 및 작업을 서두르기 위해 급하게 이동 중 재해 발생.
### Response:
작업 전 안전교육 실시와 작업장 내 위험요소 사전 제거, 안전관리 철저."
150,"
### Input:
잠수사가 장비 착용 후 사다리에서 플로팅 발판(플라스틱재질)으로 이동중 왼쪽발로 플로팅 발판을 딛는 순간 미끄러지면서 오른쪽 발이 사다리 답단 사이로 빠져 넘어진 사고임.
### Response:
작업 전 안전교육 실시와 작업장 주변 정리정돈 철저, 잠수사들의 안전장구 착용 철저 및 안전교육 강화."
151,"
### Input:
비계에 설치된 보양천막을 걷지 않고 이동하려 하다가 천막에 걸려 넘어지며 난간에 가슴을 부딪혀 갈비뼈 골절
### Response:
작업 전 안전교육 실시와 작업자 관리 철저, 비계 및 천막 정리 후 재발 방지 대책."
152,"
### Input:
1) 상호간의 신호체계가 미흡한 상태에서 작업 2) 손가락 끼임에 대한 인지 미흡
### Response:
작업 전 안전교육 실시 및 현장 관리감독 철저."
153,"
### Input:
협력사 2층 컨테이너에 방문 후 내려오던 중 가설계단에서 미끄러져 넘어지면서 오른쪽 옆구리가 계단 턱에 부딪쳐 갈비뼈가 골절됨.
### Response:
작업 전 안전교육 실시와 작업장 내 위험요소 사전 제거 및 관리감독 철저."
154,"
### Input:
수직거푸집 해체 작업 중 2단 거푸집이 재해자 쪽으로 떨어지는 것을 손으로 잡으려다 자재가 우측엄지 손가락을 가격하여 골절
### Response:
작업 전 안전교육 실시와 현장 관리감독 철저, 사고사례 전파 및 향후 재발 방지를 위한 조치 계획."
155,"
### Input:
당 사고는 살수차 작업자가 살수차  물탱크 측면 아래에 있는   물호스(자바라)를  물탱크 상부로 옮기는 과정에서 중심을 잃고 아래 바닥으로 떨어진 사고임
### Response:
작업 전 안전교육 실시와 안전장비 착용 철저, 위험요소 제거 및 관리감독 강화."
156,"
### Input:
추락위험 구간 출입통제 미실시, 추락 방지를 위한 안전시설물 설치 미흡
### Response:
작업자 교육 실시 및 작업 전 사전 점검 철저."
157,"
### Input:
작업자의 불안전한 행동
### Response:
작업자 교육 실시 및 안전교육 강화."
158,"
### Input:
작업자 부주의(현장상태 사전점검 미흡)
### Response:
작업 전 현장상태 사전 점검 철저 및 안전교육 실시."
159,"
### Input:
발 헛디딤으로 넘어지며 동바리에 가슴을 부딪힘
### Response:
안전교육 실시 및 안전장비 착용 철저."
160,"
### Input:
강관파일 근입후 두부보강위해 준비중 미끄러져 좌측 갈비뼈 4번 5번 골절
### Response:
작업 전 안전교육 실시 및 작업자 안전장구 착용 철저."
161,"
### Input:
현장내 207동 지상1층 스라브(콘판넬) 상부 이동 중 중심을 잃고 넘어지면서 적재된 플러스데크에 왼발이 끼여 골절사고 발생
### Response:
작업 전 안전교육 실시 및 작업자 안전교육 철저, 현장 내 위험요소 사전 제거와 관리감독 철저."
162,"
### Input:
2023년 12월 21일 9시 30분경 골조업체 소속 보통인부가 지하 3층 결빙구간 제거 작업 중 단순 넘어짐
### Response:
작업 전 안전교육 실시 및 안전관리 철저."
163,"
### Input:
승강시설이 설치되지 않은 상태에서 적재함 이동 중 미끄러져 넘어짐
### Response:
작업 전 안전교육 실시 및 작업자 안전장구 착용 철저."
164,"
### Input:
작업방법 순서 등 관리감독 미흡
### Response:
작업자 안전교육 실시 및 작업 전 사전 점검 철저."
165,"
### Input:
23.12.21 오전 8:30 건물 내부에서 외부로 자재를 이동하는 중 외부 현관의 콘크리트 바닥이 빙결되어 인부 1명이 미끄러져 옥외배관 터파기 한 곳에 낙상사고 발생
### Response:
작업 전 안전교육 실시 및 작업자 안전장구 착용 철저, 동절기 시설물 관리 철저, 동절기 재해 예방 교육 실시 및 사고사례 전파, 동절기 재해 예방 대책 수립 및 시행."
166,"
### Input:
보양 천막 위로 이동하던 중 미끄러짐
### Response:
작업 전 안전교육 실시 및 작업자 안전장구 착용 철저."
167,"
### Input:
작업반경 내 잔여 폐기물 정리
### Response:
작업 전 안전교육 실시 및 작업자 관리 철저."
168,"
### Input:
오토바이, 덤프트럭 신호 위반 및 지정차로 미 준수로 인한 부주의
### Response:
신호위반 및 지정차로 미준수에 대한 교육 실시와 안전교육 강화."
169,"
### Input:
현장 점검 이동중 제설미흡으로 인한 결빙지역에서 바닥에 미끄러짐
### Response:
작업자 안전교육 실시 및 현장 관리 철저."
170,"
### Input:
원인불명(현재 해경 등 수사기관에서 원인 조사 중) 사유로 기상악화(풍랑주의보)로  인해 부두 근처에서 정박하여 계류 중이던 부선의 선미가 침몰하였고, 침몰을 인지한 승선원 역시 알 수 없는 이유로 탈출하지 않고 선실에 머물러 빠져나오지 못하여 사망하였음(동 항목 위의 사고원인 항목의 분류에는 명확히 해당하는 것이 없어 작업자 부주의로 선택하였음)
### Response:
작업 전 안전교육 실시와 현장 관리감독 철저를 통한 재발 방지 대책."
171,"
### Input:
유도원 통제가 되지 않다 재해자와 유도원의 의사소통 미흡
### Response:
재발 방지를 위한 교육 실시 및 안전교육 강화."
172,"
### Input:
계단 미끄러움, 자재정돈 미흡 등
### Response:
작업 전 안전교육 실시 및 작업자 교육 철저."
173,"
### Input:
근로자 부주의
### Response:
작업 전 안전교육 실시 및 작업장 주변 정리정돈 철저."
174,"
### Input:
소부재 운반관리 소홀
### Response:
작업자 안전교육 실시 및 작업 전후 안전점검 강화."
175,"
### Input:
거푸집 개구부 막음 조치 미흡
### Response:
거푸집 개구부 막음 조치 철저 및 안전교육 실시."
176,"
### Input:
파일 항타 작업 완료 후 파일두부캡 을 양중하여야 하나 운전자 부주의로 항타추 낙하로 부딪힘 사고 발생
### Response:
작업 전 안전교육 실시와 현장 관리감독 철저."
177,"
### Input:
- E/L PIT 바닥면 방수 보호타설작업 준비하기 위해 E/L PIT 내로내려 가던중 넘어져 두부를 다친상황
### Response:
- 작업 전 안전교육 실시 및 안전관리 철저."
178,"
### Input:
2층 철골빔 상부(높이3미터)에 데크플레이트를 인양하여 적재되어 있던 데크플레이트가 지지 미흡으로 깔기 작업 및 이동 중 떨어짐
### Response:
작업 전 안전교육 실시와 안전관리감독자 배치, 안전보호구 착용과 안전수칙 준수 철저."
179,"
### Input:
2023년12월20일(수)11시경 상신플러수 작업자 김민아씨가 210동 관리사무소 내 화장실을 이용하기위해 들어가던중 미끄러짐
### Response:
작업 전 안전교육 실시와 안전관리 철저를 통한 재발 방지 대책."
180,"
### Input:
하천 구조물 신설을 위해 하부의 기존 구조물 철거하는 과정에서 노출된 그라인더 절단 작업중 절단된 철근이 튀어 재해자 손가락에 맞는  사고 발생
### Response:
작업 전 안전교육 실시와 현장 관리감독자의 주기적인 안전점검 및 안전교육 실시."
181,"
### Input:
빙판길에 이동 중 미끄러 넘어짐
### Response:
작업 전 안전교육 실시 및 작업장 주변 정리정돈 철저."
182,"
### Input:
자재정리 및 청소 작업 중 시스템동바리 자재를 움직여 넘어지면서 시스템동바리 자재(횡대)가 사고자의 왼쪽 발등위로 떨어져 금이가는 골절상
### Response:
작업 전 안전교육 실시와 작업장 주변 정리정돈 철저, 작업 전후 안전점검 실시."
183,"
### Input:
덤프트럭 적재함 후면 토사(흙) 청소 근로자가 부러진 빗자루를 임의로 수리하던 중 쪽가위에 왼손 엄지손가락을 찔림
### Response:
작업 전 안전교육 실시와 작업장 주변 정리정돈 철저, 사고 발생 시 응급조치 및 후속 조치 계획."
184,"
### Input:
눈내림으로 인한 지반 결빙상태 미인식
### Response:
작업 전후 안전교육 실시 및 작업자 교육 철저."
185,"
### Input:
옥탑 벽체 철근배근 조립 후 접이식 비계에서 내려올 때 발뒷꿈치를 바닥에 부딪혀 골절됨
### Response:
작업 전 안전교육 실시와 작업자 건강상태 확인 및 관리를 통한 재발 방지 대책."
186,"
### Input:
보행자 통로구간 이동 중 결빙 구간에서 넘어져 손가락 골절
### Response:
동종사고 재발 방지 대책 수립 및 안전교육 실시."
187,"
### Input:
빙판길 닉상(넘어짐)
### Response:
작업 전 안전교육 실시 및 작업자 안전장비 착용 철저."
188,"
### Input:
장비조작자와 현장인원의 사인미스에 따른 사고 발생
### Response:
현장 안전교육 실시 및 작업 전 안전점검 철저."
189,"
### Input:
12월 20일 수요일 08시 30분에 E/V내부에서 해체팀 근무자가 거푸집 해체 작업중 해체된 거푸집을 잡으려다 우측 새끼손가락이 자재에 접촉되어 발생
### Response:
작업 전 안전교육 실시와 안전장비 착용 철저, 사고사례 전파 및 재발 방지 대책 마련."
190,"
### Input:
재해자는 현장에서 미끄러졌다고 하나 목격자 진술로는 미끄러지는 걸 보지 못했다고 진술함
### Response:
작업 전 안전교육 실시와 작업 전후 안전점검 철저, 재발 방지를 위한 조치 계획."
191,"
### Input:
안전의식 부주의
### Response:
작업 전 안전교육 실시 및 작업자 교육 철저."
192,"
### Input:
지하1층 가시설 해체작업중 안전모, 안전벨트, 안전화 등을 착용하였으나, 안전벨트 체결은 하지 못한 상태에서   빔 위로 이동하던 중 몸의 균형을 잃고 5m아래로 추락한 사고
### Response:
안전교육 실시 및 안전관리 철저를 통한 재발 방지 대책."
193,"
### Input:
PHC파일 근입 후 되메우기 완료구간 우천으로 지반 침하 및 재해자 부주의
### Response:
재발 방지 대책 수립과 안전교육 실시."
194,"
### Input:
구미인의대동다숲아파트단지내 000씨가 동호수 페인트작업중 A형사다리에서 내려오며 미끄러져 떨어졌음.
### Response:
안전교육 실시 및 안전장비 착용 철저."
195,"
### Input:
1톤 트럭과 1톤 롤러가 서로 후진하면서, 피해자가 1톤 롤러 손잡이와 1톤 트럭 후미 사이에 끼임.
### Response:
작업 전 안전교육 실시 및 작업장 주변 정리정돈 철저."
196,"
### Input:
장비운전자와 작업자 부주의
### Response:
작업 전 안전교육 실시 및 장비 운전자의 주의를 통한 재발 방지 대책."
197,"
### Input:
2023. 12. 19(화) 15:10분경 113동 지하 5층에서 벽체 유로폼 해체 작업 중, 한 개의 폼이 해체되는 과정에서 옆에 있던 유로폼도 같이 탈락되며 유로폼 사이 손가락이 끼어 오른쪽 새끼손가락 골절
### Response:
작업 전 안전교육 실시 및 현장 관리감독 철저를 통한 재발 방지 대책 수립."
198,"
### Input:
충분한 스트레칭을 하지 않아 신체 부하로 인한 근육 손상, 무리한 작업 동작
### Response:
근골격계 질환 예방 교육 실시 및 재발 방지 대책 수립."
199,"
### Input:
유로폼 해제 작업간 떨어진 작업공구(빠루)가 사고자의 안면을 스치듯 타격함
### Response:
작업자 안전교육 실시 및 재발 방지 대책 수립."
