,ID,발생일시,사고인지 시간,날씨,기온,습도,공사종류,연면적,층 정보,인적사고,물적사고,공종,사고객체,작업프로세스,장소,부위,사고원인,재발방지대책 및 향후조치계획
5073,TRAIN_05073,2023-03-16 오전 09:00,불류불능 -,맑음,9℃,37%,산업환경설비 / 발전시설,-,-,분류불능,없음,토목 > 토공사,기타 > 기타,기타,/ 외부,기타 / 바닥,장기간 건설업 종사에 따른 근골격계 질환,근골격계 관리와 산업재해조사표 제출을 통한 재발 방지 대책 마련.
5076,TRAIN_05076,2023-03-15 오후 04:40,정규작업 -,맑음,22℃,60%,건축 / 건축물 / 공동주택,"9,025㎡","지상 5층, 지하 1층",부딪힘,없음,건축 > 해체 및 철거공사,기타 > 건설폐기물,물뿌리기 작업,공동주택 / 외부,건설폐기물 / 상부(위),접근금지 구역 설정 시 안전거리(날아오는거리+굴러오는거리)를 충분히 산정하지 못함(날아오는 거리만 설정).,부딪침 방지망 설치와 안전거리 재산정 실시를 통한 작업자 부딪침 방지 시설물 설치 및 안전거리 충분한 산정.
5080,TRAIN_05080,2023-03-15 오후 02:30,정규작업 -,맑음,8℃,30%,건축 / 건축물 / 업무시설,"27,560.75㎡","지상 17층, 지하 3층",없음,충돌,토목 > 토공사,건설기계 > 항타 및 항발기,이동,업무시설 / 인접주변,항타 및 항발기 / 상부(위),부지경계선 ~ 현대밀라트 외벽까지 이격거리 약 1m에 따른 항타기 이동시 간섭 발생,"항타기 방향 전환을 통한 보조와이어와 벽체 간섭 없이 진행작업 시 전담신호수 2명 이상과 시공사 직원 2명을 배치하여 수신호 및 안전관리를 실시하고, 외벽 파손부위 보수 및 안전관리를 포함한 조치 계획."
5085,TRAIN_05085,2023-03-15 오전 09:40,정규작업 -,흐림,16℃,69%,건축 / 건축물 / 숙박시설,"42,856.18㎡","지상 38층, 지하 5층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,기타 > 건설폐기물,이동,숙박시설 / 내부,건설폐기물 / 바닥,RCS발판 분절구간 덮개폐합을 확인하고 통로창으로 건물내부로 넘어오면서 콘크리트 잔재물로 인한 미끄러짐,현장 내 바닥 슬러지 폐기물 정리 상태 점검 및 이동통로 상태 점검과 추가 확보를 통한 안전사고 재발 방지를 위한 대책 수립과 공사장 전반에 대한 즉시 자체 안전 점검 실시 후 감리책임자의 확인을 받은 결과 제출.
5086,TRAIN_05086,2023-03-15 오전 09:35,정규작업 -,맑음,15℃,15%,토목 / 하천 / 기타,-,-,기타,전도,토목 > 토공사,건설기계 > 덤프트럭,운반작업,기타 / 외부,덤프트럭 / 옆,덤프트럭 운전자 운전미숙,"건설기계 유도 신호수 추가 배치와 안전관리 교육을 포함한 안전관리 대책 수립 및 현장 적용과 운전자 요양치료, 현장 안전관리 대책 추가 수립 및 이행."
5091,TRAIN_05091,2023-03-14 오후 04:50,정규작업 -,맑음,14℃,46%,건축 / 건축물 / 노유자시설,"9,821.66㎡","지상 6층, 지하 2층",기타,없음,건축 > 철근콘크리트공사,건설자재 > 철근,설치작업,노유자시설 / 외부,철근 / 바닥,철근 배근이 설치된 안전이동발판이 없는 곳으로 이동 중 발 빠짐으로 사고 발생,안전이동발판 설치와 사고사례 및 유사사고사례 교육을 통한 근로자 이동동선 확보.
5092,TRAIN_05092,2023-03-14 오후 04:10,정규작업 -,맑음,10℃,42%,산업환경설비 / 발전시설,-,-,끼임,없음,기계설비 > 기계설비공사,건설기계 > 기중기(이동식크레인 등),설치작업,/ 외부,기중기(이동식크레인 등) / 상부(위),크레인 후크를 회수하는 과정에서 크레인 와이어가 그레이팅에 접촉되지 않게 밀어주다가 우측 검지 손가락이 활차에 끼임,"그레이팅에 접촉하지 않도록 크레인 위치를 수정하고, 크레인 작업자에게 특별 교육을 실시하며, 크레인 와이어가 구조물과 간섭되지 않도록 붐대를 조정하고 보조기구를 사용하여 크레인 후크를 조정하는 조치."
5093,TRAIN_05093,2023-03-14 오후 03:50,정규작업 -,맑음,12℃,50%,건축 / 건축물 / 창고시설,"36,311㎡","지상 3층, 지하 2층",부딪힘,없음,건축 > 건축물 부대공사,시설물 > 옹벽,설치작업,창고시설 / 외부,옹벽 / 옆,부적절한 슬링벨트 걸이,"구조물 슬링벨트를 한줄걸이에서 두줄걸이로 변경하고, 구조물 안정 시까지 장비를 사용하며, 안전교육을 실시하는 조치."
5116,TRAIN_05116,2023-03-14 오전 08:29,작업 전 -,맑음,15℃,45%,건축 / 건축물 / 교육연구시설,"6,068.86㎡","지상 5층, 지하 0층",떨어짐(3미터 이상 ~ 5미터 미만),없음,건축 > 가설공사,가시설 > 비계,설치작업,교육연구시설 / 외부,비계 / 넘어짐,외부비계 설치중 비계기둥 하단 깔목 및 벽이음재 또는 버팀재 미설치,"시스템비계 설치 전 지반상태 확인, 평탄화 작업 및 침하방지 충분히 수행을 통한 유사사고 및 재발 방지 대책 마련."
5117,TRAIN_05117,2023-03-14 오전 08:00,정규작업 -,맑음,18℃,50%,건축 / 건축물 / 업무시설,"127,499.25㎡","지상 10층, 지하 2층",물체에 맞음,없음,건축 > 가설공사,가시설 > 기타 가시설,이동,업무시설 / 인접주변,기타 가시설 / 바닥,주변 이동중인 고소작업대가 복도에 세워져 있던 서포트를 건드려 넘어지면서 재해자의 어깨에 부딪힘,근로자 이동동선 내 자재적재 금지 및 정리정돈 관리와 고소작업대 이동 및 작업 중 주변 반경 통제.
5119,TRAIN_05119,2023-03-14 오전 07:00,작업 전 -,맑음,12℃,30%,산업환경설비 / 발전시설,-,-,부딪힘,없음,건축 > 지붕 및 홈통공사,기타 > 차량,이동,/ 외부,차량 / 바닥,적재함에서 하차 중 부주의,승하강 시 간이계단 사용 검토와 산업재해조사표 제출을 통한 재발 방지 대책 마련.
5130,TRAIN_05130,2023-03-13 오후 02:00,정규작업 -,맑음,3℃,22%,산업환경설비 / 환경시설 / 하수처리시설,-,-,넘어짐(미끄러짐),없음,토목 > 해체 및 철거공사,부재 > 벽체,해체작업,하수처리시설 / 외부,벽체 / 뒤,전문 기능공이 안닌 작업미숙의 보통인부가 무리한 힘으로 거푸집해체 작업 진행,신규 근로자 투입 시 숙련공과 2인1조 작업 및 현장 단부 단차 보강 조치.
5133,TRAIN_05133,2023-03-13 오전 11:30,정규작업 -,맑음,7℃,55%,건축 / 건축물 / 운수시설,"349,895㎡","지상 5층, 지하 2층",끼임,없음,건축 > 지붕 및 홈통공사,건설자재 > 창호,설치작업,운수시설 / 내부,창호 / 옆,하지철물 미세조정중 하지철물이 좌우로 움직이며 기존 철물 사이에 작업자 손가락(약지)이 위치하여 협착,유도로프를 활용한 하지철물 조정과 작업자 안전교육을 통한 재발 방지 대책 및 향후 조치 계획.
5136,TRAIN_05136,2023-03-13 오전 10:30,정규작업 -,맑음,15℃,50%,건축 / 건축물 / 창고시설,"25,752.81㎡","지상 3층, 지하 1층",끼임,없음,건축 > 철근콘크리트공사,가시설 > 비계,타설작업,창고시설 / 외부,비계 / 상부(위),작업발판 사이 틈 발생,작업발판 설치 시 틈새없이 밀실 설치와 관리감독자 등 감시자 배치.
5138,TRAIN_05138,2023-03-13 오전 09:30,정규작업 -,맑음,5℃,35%,토목 / 도로 / 도로,-,-,물체에 맞음,없음,토목 > 가설공사,건설기계 > 굴착기,설치작업,도로 / 내부,굴착기 / 바닥,2023년 3월 13일 09:30 경 신규 반입된 임대장비(굴착기 미니)를 초기 시험가동 하는 과정에서 버킷을 장착하지 않은 채 활대만으로 지반을 지지하고 궤도를 지지하다가 장비가 균형을 잃고 우측으로 전도된 사고,건설기계 운용 시 불안정한 거치 상황에서 조작을 하지 않도록 안전교육 실시.
5141,TRAIN_05141,2023-03-13 오전 09:10,정규작업 -,맑음,1℃,50%,건축 / 건축물 / 업무시설,"9,030.35㎡","지상 4층, 지하 2층",부딪힘,없음,건축 > 철근콘크리트공사,가시설 > 시스템동바리,설치작업,업무시설 / 내부,시스템동바리 / 바닥,시스템 비계 지주 사이로 급히 돌아나가던 중 지주에 못주머니가 끼이며 흉부쪽 옆구리를 심하게 압박하여 근육통 발생,시스템 비계 설치구간에서 이동 시 공간 확보가 된 구간으로 이동하도록 안전교육 실시.
5152,TRAIN_05152,2023-03-11 오후 01:30,정규작업 -,맑음,17℃,20%,건축 / 건축물 / 숙박시설,"23,241.42㎡","지상 24층, 지하 3층",깔림,없음,토목 > 해체 및 철거공사,건설기계 > 기중기(이동식크레인 등),인양작업,숙박시설 / 외부,기중기(이동식크레인 등) / 인양물체(인발판)의 바닥,"H빔 인발을 위해 인발기의 인발판으로 이동식크레인으로 인양하던 중 신호수, 인발기 기사 및 작업자 간의 신호 오인","인발 시 신호수 확성기 사용, 인발 위치 주변 휀스 설치, 신호수의 작업 인가 신호 확인 후 작업자 휀스 해체 및 작업과 수시 안전점검 및 안전관리 미흡 시 즉시 조치 예정에 대한 재발 방지 대책."
5157,TRAIN_05157,2023-03-11 오전 11:30,정규작업 -,흐림,20℃,65%,건축 / 건축물 / 공동주택,"4,660㎡","지상 15층, 지하 3층",부딪힘,없음,건축 > 건축 토공사,가시설 > 흙막이가시설,해체작업,공동주택 / 내부,흙막이가시설 / 상부(위),빔붕심 잡기 미숙으로 빔회전 으로 발등 스침,신호수 추가배치와 입원치료완쾌를 통한 재발 방지 대책.
5160,TRAIN_05160,2023-03-11 오전 10:30,정규작업 -,맑음,7℃,60%,건축 / 건축물 / 공동주택,"72,303㎡","지상 48층, 지하 6층","절단, 베임",기타,건축 > 철근콘크리트공사,건설자재 > 자재,형틀 및 목공,공동주택 / 지하주차장 목재가공장,자재 / 바닥,목재가공장에서 합판을 가공하기 위하여 스킬톱을 사용 중 미 고정으로 인하여 합판이 움직이는 과정에서 스킬톱이 재해자의 손을 스쳐감.,"합판가공 시 합판을 고정하여 작업을 진행하고, 해당공종의 근로자 안전교육을 실시하는 조치."
5161,TRAIN_05161,2023-03-11 오전 10:30,정규작업 -,맑음,17℃,14%,건축 / 건축물 / 창고시설,"44,818.05㎡","지상 3층, 지하 2층",깔림,없음,건축 > 가설공사,건설자재 > 자재,조립작업,창고시설 / 내부,자재 / 지하,자재 조립 중 위험이 있는 자재 하부를 잡고 작업,화인폼 클라이밍 시스템 작업자 안전교육 재실시와 중량물 취급 시 수공구 적극 활용 방안.
5164,TRAIN_05164,2023-03-11 오전 10:00,정규작업 -,맑음,16℃,56%,건축 / 건축물 / 근린생활시설,"1,265㎡","지상 1층, 지하 1층",넘어짐(물체에 걸림),없음,건축 > 철근콘크리트공사,가시설 > 거푸집,이동,근린생활시설 / 내부,거푸집 / 바닥,재해자가 1층 거푸집 작업을 위해 이동 중 자재에 걸려 넘어짐,이동 통로에 자재적치 금지 및 이동통로 설치 예정 사항.
5167,TRAIN_05167,2023-03-11 오전 08:00,정규작업 -,맑음,12℃,60%,건축 / 건축물 / 기타,"6,080㎡","지상 0층, 지하 3층",없음,없음,토목 > 가설공사,질병 > 질병,용접작업,기타 / 내부,질병 / 귀,"30년동안 기초공사 현장에서 30년동안 용접공으로 종사하였으며, 23.03.11 검진 결과, 감각신경선 난청으로 진단받았음.",근로자 배치전 및 특수검진 작업전 실시 후 진단표 제출 및 보고.
5169,TRAIN_05169,2023-03-10 오후 04:30,출ㆍ퇴근 등 -,맑음,23℃,27%,건축 / 건축물 / 창고시설,"11,198.61㎡","지상 5층, 지하 1층",넘어짐(물체에 걸림),없음,기계설비 > 기계설비공사,건설자재 > 볼트,조립작업,창고시설 / 내부,볼트 / 바닥,퇴근시간이 임박하자 빠른 퇴근을 위하여 안전한 이동통로를 이용하지 않고 작업위치에서 수평생명줄 로립 체결한 상태로 하부로(1.8M) 내려와 렉을 잡고 내려오다 하부에 앙카볼트 베이스를 잘못딛여 발목이 꺾이며 골절 발생,"안전한 이동통로 이용 의무화 및 이동통로 외 이용 적발 시 퇴출조치에 대한 TBM 전파와 SFA업체 근로자 특별교육 실시, 출입금지 구역 무단 출입 시 퇴출 조치에 대한 노사협의체 협의, 신규자 교육 및 특별교육 시 출입금지 구간 교육 추가, 사고 사례 전파 및 안전한 이동통로 이용에 대한 전파."
5172,TRAIN_05172,2023-03-10 오후 03:30,정규작업 -,맑음,20℃,40%,건축 / 건축물 / 공동주택,807.90㎡,"지상 3층, 지하 0층",넘어짐(기타),없음,건축 > 조적공사,기타 > 기타,이동,공동주택 / 내부,기타 / 작업발판,3. 10(금) 내부 시멘트 벽돌쌓기 작업 후 이동중 슬라브 바닥에 넘어짐 사고 발생 하였으나 보고 없이 퇴근함.3. 11(토 / 작업없음) 지속된 고통으로 병원 진료결과 갈비뼈에 금이 감.3. 12(일 / 작업없음)3. 13(월) 작업자가 현장소장에게 보고하여 공사감독관에게 사고경위 전달하고 산재처리 요청함.,2인 1조 작업 및 근골격계 재해 예방 교육 실시와 사고 원인 분석에 따른 추가 대책 수립 예정.
5180,TRAIN_05180,2023-03-10 오전 09:00,기타 -,맑음,5℃,35%,건축 / 건축물 / 업무시설,"8,895.11㎡","지상 1층, 지하 3층",기타,없음,건축 > 조적공사,기타 > 기타,기타,업무시설 / 근로복지공단 산업재해 결정(2023.5.11.),기타 / 근로복지공단 산업재해 결정(2023.5.11.),"3월 9일 신규교육일부터 손목의 이상이 확인되어 산업재해를 불인정 하였으나, 근로복지공단에서 산업재해 결정이 5월 11일에 결정되어 통지됨.",신규 투입 시 손목 이상 확인된 작업자에 대한 근로복지공단의 산업재해 결정 통지에 따른 신고와 재해 예방을 위한 안전 육 강화 및 현장 정리 철저.
5182,TRAIN_05182,2023-03-10 오전 08:00,정규작업 -,맑음,8℃,45%,건축 / 건축물 / 의료시설,"99,634.09㎡","지상 4층, 지하 10층",넘어짐(기타),없음,건축 > 철근콘크리트공사,건설자재 > 데크플레이트,이동,의료시설 / 외부,데크플레이트 / 바닥,"데크플레이트 상부 실족방지망 설치상태 미흡, 도출된 위험성평가 예방대책 미이행(합판, 실족방지망 설치)",데크플레이트 상부 이동통로에 합판과 실족방지망 등 발빠짐 방지조치 실시 및 유사사고 재발방지 대책 제출 통보.
5185,TRAIN_05185,2023-03-09 오후 05:55,정규작업 -,맑음,26℃,23%,건축 / 건축물 / 공장,"11,613.30㎡","지상 4층, 지하 0층",기타,없음,건축 > 철골공사,건설기계 > 타워크레인,정리작업,공장 / 내부,타워크레인 / 고소,낙뢰로 인한 충격,공사완료에 대한 재발 방지 대책과 향후 조치 계획.
5187,TRAIN_05187,2023-03-09 오후 04:30,정규작업 -,맑음,20℃,30%,조경 / 기타,-,-,부딪힘,없음,토목 > 토공사,건설기계 > 굴착기,정리작업,/ 외부,굴착기 / 버켓,포크레인 운전 미숙,작업 전 장비 기사에 대한 사전 안전교육 실시와 포크레인 운행 능숙자의 현장 투입.
5190,TRAIN_05190,2023-03-09 오후 03:20,정규작업 -,흐림,11℃,40%,토목 / 하천 / 기타,-,-,넘어짐(미끄러짐),없음,토목 > 하천공사,토사 및 암반 > 경사면,정리작업,기타 / 외부,경사면 / 하부(아래),하천공 양수작업 중 호스의 꼬임 방지를 위해 로프를 땡기던 중 미끄러짐.,작업로 확보 및 안전난간대 설치와 중량물 취급 시 2인 1조 작업 시행을 통한 재발 방지 대책과 향후 조치 계획.
5196,TRAIN_05196,2023-03-09 오후 01:30,정규작업 -,맑음,15℃,20%,건축 / 건축물 / 창고시설,"35,000㎡","지상 4층, 지하 2층",화상,없음,건축 > 건축 토공사,가시설 > 흙막이가시설,해체작업,창고시설 / 외부,흙막이가시설 / 가시설 벽체,토사의 하중으로 인한 띠장의 수평 튐 현상이 발생하여 중심을 잃고 산소불대를 놓치면서 산소불대가 재해자 발목으로 향해 화상을 입음,위험한 작업 발생 후 TBM을 통해 공사 안전 및 위험 요소를 제거하고 안전한 환경에서 작업을 진행하며 특별 안전 교육을 실시하는 조치 계획.
5197,TRAIN_05197,2023-03-09 오후 12:50,정규작업 -,흐림,10℃,85%,토목 / 터널 / 도로터널,-,-,물체에 맞음,없음,토목 > 터널공사,가시설 > 기타 가시설,기타,도로터널 / 내부,기타 가시설 / 상부(위),강관다단 파이프 제거 작업 과정 중 예상과 달리 물체가 낙하하여 사고 발생,작업자 안전교육 실시 및 동일 작업의 경우 장비 활용으로 인력작업 배제.
5199,TRAIN_05199,2023-03-09 오전 10:40,정규작업 -,흐림,7℃,94%,토목 / 상하수도 / 상수도,-,-,넘어짐(미끄러짐),없음,토목 > 관공사,토사 및 암반 > 굴착사면,굴착작업,상수도 / 외부,굴착사면 / 바닥,작업자 이동중 부주의로 인한 미끄러짐,"재해 방지를 위한 이동통로 확보, 작업자 안전교육 시 사고 사례 교육, 고령 근로자 선별적 작업 배치 및 안전사고 발생 요인 제거와 부상 작업자 치료 및 요양을 위한 산재 처리."
5200,TRAIN_05200,2023-03-09 오전 10:40,정규작업 -,맑음,15℃,30%,건축 / 건축물 / 공동주택,"31,083.78㎡","지상 28층, 지하 1층",물체에 맞음,없음,건축 > 건축물 부대공사,부재 > 철골부재,연결작업,공동주택 / 내부,철골부재 / 하부(아래),양수기 호스 연결도중 파이프가 조적용 앵글을 치면서 앵글이 재해자에게 낙하하여 비골 골절,근로자의 무리한 작업 및 불안전 행동에 대한 지속적인 관리.
5205,TRAIN_05205,2023-03-09 오전 09:30,정규작업 -,맑음,10℃,23%,건축 / 건축물 / 공동주택,"48,730㎡","지상 2층, 지하 19층",부딪힘,기타,건축 > 타일 및 돌공사,건설자재 > 자재,설치작업,공동주택 / 외부,자재 / 바닥,석재 생산 후 현장으로 이동하는 과정에서 지게차로 여러차례 옮기면서 하중에 의한 충격으로 석재에 미세한 균열이 발생한 것을 모르고 석재 설치를 하면서 균열조각이 떨어지며 신체에 맞은 사고,"생산공장에서 팔레트에 무리한 적재 금지와 석제의 균열 이상 유무 확인 후 시공, 포장 시 단위 포장수량 제한, 지게차 운전원 교육 실시 및 석재 운반 시 취급주의 지시, 석재 양중 시 균열 여부 확인 점검 후 양중, 석재 설치 작업 시 균열 여부 재확인 후 시공."
5207,TRAIN_05207,2023-03-09 오전 08:30,정규작업 -,맑음,12℃,88%,토목 / 하천 / 관개수로,-,-,떨어짐(2미터 이상 ~ 3미터 미만),없음,토목 > 하천공사,시설물 > 옹벽,해체작업,관개수로 / 외부,옹벽 / 하부(아래),작업자는 안전모는 착용하였으나 안전고리를 체결하지 않아 추락하였음,"작업자의 편의성으로 인해 2.5m의 높이에서 안전고리를 미체결하는 경우가 많으므로, 현장관리자는 작업 전과 중에 안전고리의 체결 상태를 수시로 확인하고, 추락에 대비하여 비계 안전난간을 규정에 맞춰 철저히 설치하는 조치."
5209,TRAIN_05209,2023-03-09 오전 07:30,정규작업 -,흐림,10℃,62%,건축 / 건축물 / 기타,"11,673㎡","지상 1층, 지하 1층",넘어짐(기타),없음,토목 > 가설공사,시설물 > 건물,설치작업,기타 / 여과지 내,건물 / 바닥,치리수 유출거 높이가 50cm 정도 되어 발빠짐 위험이 있으나 안전발판 조치없이 작업중 근로자 부주의로 발이 빠짐으로 인한 사고,"안전사고 재발 방지를 위한 현장 대리인 및 안전관리자 상주, 위험요소 발견 시 작업 즉시 중단 및 조치 후 작업 재개와 발빠짐 방지를 위한 안전발판 설치."
5217,TRAIN_05217,2023-03-08 오후 02:05,정규작업 -,강우,15℃,70%,건축 / 건축물 / 공동주택,"2,163,828㎡","지상 35층, 지하 3층",떨어짐(2미터 미만),없음,건축 > 목공사,건설기계 > 지게차,운반작업,공동주택 / 외부,지게차 / 앞,"316동 지상층 석고보드 자재 이동을 위하여 말비계를 사용하여 상부 이동 후 보양 천막을 벗기는 중 석고보드 앞에 위치한 단열재를 지게차로 이동하는 과정에서 보양 천막이 지게차 포크에 걸려 함께 이동하면서 아래로 추락 (높이 : 약 1.5M)  ※ 재해자(유도자) 업무 진행 중, 운전자가 보양천막 제거 지시를 함.",사전 위험성 제거 후 작업 계획 수립에 따른 작업 실시와 유도자 타 업무 병행 금지.
5218,TRAIN_05218,2023-03-08 오후 02:00,정규작업 -,흐림,11℃,60%,건축 / 건축물 / 교육연구시설,"10,716.69㎡","지상 4층, 지하 1층",떨어짐(2미터 미만),없음,기계설비 > 기계설비공사,시설물 > 건물,설비작업,교육연구시설 / 내부,건물 / 바닥,설비공사 철수 중 비계 발 헛디딤으로 인한 재해사고,수시관리감독 강화와 작업투입전 위험작업에 대한 관리감독자 점검 추가실시를 통한 불안전요소 개선조치.
5225,TRAIN_05225,2023-03-08 오전 10:50,정규작업 -,맑음,10℃,45%,건축 / 건축물 / 방송통신시설,"40,453.13㎡","지상 9층, 지하 3층",물체에 맞음,없음,건축 > 철근콘크리트공사,가시설 > 작업발판,형틀 및 목공,방송통신시설 / 내부,작업발판 / 바닥,시스템 동바리 내부 발판에 걸쳐 있던 해체된 횡대가 하부로 낙하하여 안전모에 부딪힘,"작업발판 상부 낙하 위험물 제거, 가설재 시설물 복구 상태 관리자 상시 확인, 작업용 시스템 동바리 외부 낙하방지망 설치, 낙하물 발생 위험구간 수평망 설치, 전 근로자 대상 사고사례 및 위험성평가 교육 실시."
5227,TRAIN_05227,2023-03-08 오전 10:00,정규작업 -,맑음,12℃,50%,건축 / 건축물 / 창고시설,"148,573.41㎡","지상 10층, 지하 1층",물체에 맞음,없음,건축 > 가설공사,건설자재 > 자재,설치작업,창고시설 / 내부,자재 / 하부(아래),망치의 못홈에 끼운채로 별도 고정을 하지 않고 작업을 실시하다가 못이 비산됨,작업에 적합한 개인보호구 착용 및 작업방법 개선을 통한 재발 방지 대책 마련.
5230,TRAIN_05230,2023-03-08 오전 08:30,정규작업 -,맑음,11℃,38%,건축 / 건축물 / 공동주택,"63,782㎡","지상 29층, 지하 1층","절단, 베임",없음,건축 > 가설공사,가시설 > 안전시설물,기타,공동주택 / 내부,안전시설물 / 앞,벽체 천공작업시 벽체 내부에 철근걸림이 감지 되었음에도 불구하고 무리하게 작업을 시도하다가 드릴비트가 철근에 비껴가면서 방향전환됨에 따라 잡고 있던 엄지손가락을 스침,천공작업과 안전고리 슬링바 체결 작업의 별도 실시 및 작업자의 실수로 인한 경미한 사안으로 판단된 현장 조사 후 산업재해조사표 제출과 산재처리 예정.
5231,TRAIN_05231,2023-03-08 오전 08:20,정규작업 -,흐림,10℃,60%,건축 / 건축물 / 업무시설,"5,456.78㎡","지상 13층, 지하 2층",끼임,없음,건축 > 가설공사,가시설 > 버팀대,해체작업,업무시설 / 내부,버팀대 / 고소,현장 내 경사버팀대 해체 작업중 바브켓 운전자와의 신호 미흡으로 경사버팀대를 고정하던 화타 볼트가 풀리며 작업자의 장갑이 말려 들어감.,작업 시 건설기계 운전원과 작업통제 신호수 간 무선통신을 통한 신호체계 구축 및 작업구간 내 인원 통제에 대한 건설사고 재발방지 대책 수립과 제출.
5235,TRAIN_05235,2023-03-07 오후 04:30,정규작업 -,맑음,20℃,40%,건축 / 건축물 / 판매시설,"301,337.31㎡","지상 21층, 지하 6층",분류불능,없음,건축 > 철근콘크리트공사,건설자재 > 자재,운반작업,판매시설 / 내부,자재 / 지하,개인부주의,중량물(자재) 운반방법 교육 실시.
5243,TRAIN_05243,2023-03-07 오전 11:30,정규작업 -,맑음,15℃,45%,토목 / 도로 / 도로,-,-,끼임,없음,토목 > 토공사,건설기계 > 천공기,천공작업,도로 / 외부,천공기 / 리더,E/A 천공및 주입 완료 후 케이싱 해체 작업 중 젖은 장갑을 착용한 근로자 부주의로 케이싱이 미끄러지며 장비 리더와 케이싱 사이에 좌측 손가락이 끼임,미끄럼 방지용 장갑 착용 및 2인 1조 작업 시행.
5245,TRAIN_05245,2023-03-07 오전 11:00,정규작업 -,흐림,15℃,50%,건축 / 건축물 / 공동주택,"272,827.56㎡","지상 29층, 지하 2층",물체에 맞음,없음,건축 > 철근콘크리트공사,건설자재 > 자재,설치작업,공동주택 / 외부,자재 / 바닥,작업자 안전모에 부착된 보안경을 최대로 확장하여 착용하지 않음,"비래 위험 작업 시 보안경, 보안면 등 적정 개인 보호구 착용에 대한 특별교육 실시와 못질 작업 시 펜치, 플라이어 등을 사용하여 목정 후 작업 실시."
5246,TRAIN_05246,2023-03-07 오전 10:30,정규작업 -,맑음,15℃,72%,토목 / 도로 / 도로,-,-,물체에 맞음,없음,토목 > 가설공사,가시설 > 기타 가시설,타설작업,도로 / 영주고가 파이프루프구간,기타 가시설 / 바닥,"펌프카 자바라호스 내 잔류압력 강약의 정량적 측정이 불가능한 상태였으며, 추가적인 안전 조치 예측 미흡(방호관 고정 미흡)",관련 공종 작업 종료와 유사 공종 작업 시 위험성 평가 반영 및 특별 안전 교육 실시를 통한 유사 재해 예방 조치 시행.
5250,TRAIN_05250,2023-03-07 오전 09:10,정규작업 -,맑음,26℃,35%,건축 / 건축물 / 공장,"11,613.30㎡","지상 4층, 지하 0층",끼임,없음,건축 > 철골공사,건설기계 > 타워크레인,연결작업,공장 / 내부,타워크레인 / 하부(아래),신호 전 선이행,공사완료에 대한 재발 방지 대책 및 향후 조치 계획.
5254,TRAIN_05254,2023-03-06 오후 04:00,정규작업 -,맑음,12℃,45%,건축 / 건축물 / 공동주택,"191,490.95㎡","지상 30층, 지하 2층",부딪힘,없음,건축 > 철근콘크리트공사,건설기계 > 지게차,운반작업,공동주택 / 내부,지게차 / 옆,"중량물 인양,운반작업을 수행하면서 건설기계작업계획서에 따른 전담 신호수 및 작업지휘자 역할, 위치 미준수(1. 임의작업, 2. 작업공간 미확보, 3. 작업계획서에 따른 작업이행여부 미확인), 안전 확인,통제 미흡",작업계획서 준수와 임의 작업 금지 및 야적장 공간 확보를 통한 재발 방지 대책과 향후 조치 계획.
5257,TRAIN_05257,2023-03-06 오후 02:40,정규작업 -,맑음,11℃,45%,건축 / 건축물 / 공동주택,"207,997㎡","지상 34층, 지하 3층","절단, 베임",없음,건축 > 철근콘크리트공사,건설공구 > 공구류,절단작업,공동주택 / 외부,공구류 / 바닥,고속절단기 완전 멈춤 전 부주의로 접촉됨,"말림과 감김 위험이 있는 안전 망 절단 시 고속 절단기 사용 금지, 고속 절단기 사용 작업 시 유의사항 교육, 작업 전후 주변 환경 정리 및 적절한 자세 교육."
5261,TRAIN_05261,2023-03-06 오후 01:30,정규작업 -,맑음,16℃,70%,조경 / 공원,-,-,넘어짐(기타),없음,기타 > 기타,기타 > 기타,이동,/ 내부,기타 / 우측 발목,잔디식재 작업 이동 중 작업자 부주의로 발목을 접질러 넘어짐,고령근로자 채용 시 신체기능 테스트 및 건강상담 실시.
5262,TRAIN_05262,2023-03-06 오전 11:25,정규작업 -,맑음,5℃,90%,건축 / 건축물 / 숙박시설,"229,571.23㎡","지상 49층, 지하 7층",물체에 맞음,없음,건축 > 철근콘크리트공사,가시설 > 강관동바리,운반작업,숙박시설 / 내부,강관동바리 / 옆,협소 구간 근로자 임의 자재 인력 운반 및 적정 중량을 초과한 무리한 인력 자재 운반,"인력 운반 자재와의 충돌 위험요소 사전 확인 및 제거, 협소 구간 근로자의 임의 이동 방지를 위한 안전통로 구분 조치와 안전교육 실시."
5266,TRAIN_05266,2023-03-06 오전 11:00,정규작업 -,맑음,10℃,37%,산업환경설비 / 발전시설,-,-,떨어짐(2미터 미만),없음,기계설비 > 기계설비공사,기타 > 기타,고소작업,/ 내부,기타 / 고소,이동식 틀비계에서 전기판넬 상부로 이동하기 위하여 내려오던 중 판넬과 판넬 사이 빈공간을 인지하지 못하여 실족하여 떨어짐,"재발 방지 교육 실시, 위험성 평가 재실시, 판넬 개별 포장 조치 및 향후 재발 방지 교육과 위험성 평가 재평가 확인, 판넬 개별 포장 현장 확인."
