,Unnamed: 0,사고원인,재발방지대책 및 향후조치계획
792,2391,1. (인적)배관 인양작업 시 부주의 및 불안전한 행동2. (작업환경) 협소작업공간 등으로 불안전한 작업자세3. (관리적)안전보건관리체계 현장 작동성 확인 미흡,안전감시원 배치를 통한 고위험 작업장소 발굴 및 위험요소 사전 파악과 작업근로자 재해 예방을 위한 순회 점검 감시원 배치와 재발 방지 대책 수립 및 TBM 시행 철저 관리.
793,2393,"상층부에서 핯부층으로 작업진행중이었으며, 바닥보양지를 인지 못하고 계단실을 통행한 근로자의 부주의E/V 청소원의 이동 동선 및 주요 공사진행 사항 등의 전파, 교육 미흡","유사 동종 재해사례 전파 및 재발방지 대책에 관한 근로자 안전교육 실시, 계단실 및 세대 진출입부 등 근로자 이동로 상의 각종 보양 작업, 통행 장애사항 발생 시 출입통제 표지 또는 우회경로 안내표지 부착 실시."
794,2394,재해자가 가설비계발판 설치를 위해 이동하던 중 중심을 잃고 넘어지며 부딪힘 및 단독작업 진행,"작업 종료 전 특별 관리 및 2인 1조 근무, 안전한 작업 방법에 대한 특별 교육 실시와 현장 내 안전 교육 및 안전 조치 강화 요청."
795,2397,근로자 부주의로 1.1m 안전난간대 사이를 통과하여 1.2m 벽체 위에서 뛰어내리는 과정에서 하부에 있던 못이 튀어나와 있는 각재에 발바닥을 찔림,사고사례 전파 교육 실시와 위험성 평가 반영을 통한 재발 방지 대책 및 현장 점검을 포함한 향후 조치 계획.
796,2399,2023년 08월 11일(금) 10시 15분 경 레이카운티 현장의 107동 6층 세대내부에서 3인 1조로 거실 창호 유리 교체(A/S) 작업 중 인부 1인이 유리창과 함께 1층으로 추락,"사업장 전반에 대한 안전점검 실시와 피해수습 및 재발방지대책 마련, 유사사고 방지를 위한 안전교육 및 공사장 안전관리 철저, 공사중지 및 각종 시설물 재정비를 통한 사고원인 및 피해수습 대책에 대한 관계자료 제출 요청."
797,2401,2023.08.11 09시 30분경 탱크 남서측 EBHS(탱크베이스 열선시스템) 판넬 설치 작업 중 고정 중이던 체인블럭을 해체 후 하부 고임목을 회수하기 위하여 판넬을 미는 순간 균형상실에 따른 판넬 전도로 얼굴 찍힘,"판넬 위치 설정 시 안전블록, 라챗 벨트 또는 PP로프 등을 활용한 판넬 고정 조치 후 볼팅 체결 실시, 작업 전 작업 위치 및 지반 상태에 대한 사전 검토, 작업 시 관리감독자 상주, 근로자 부주의 및 작업 방법 안전교육 실시."
798,2405,2023년 8월 9일 15시 10분경 충청북도 도로관리사업소 청사 건립사업 정비동 천장에서 보통인부 00이 옥상 우레탄 방수작업을 마치고 사다리를 이용 지상으로 내려오던 중 사다리 1.5m정도에서 계단을 헛딪고 비끄러지면서 떨어짐,"해당 작업구간 A형사다리 사용금지 및 계단식 사다리설치 사용, 특별안전교육 실시 및 사고사례 전파와 수시 현장 안전 점검 실시를 통한 재발 방지 대책 마련."
799,2414,계단을 내려오면서 전방의 시야를 확보하지 못한 상태에서 이동하다 걸려 넘어짐,"계단난간 중간 보조 난간 설치와 불안정한 행동 관련 안전교육 실시, TBM 시 사고사례 전파 교육, 가설계단 안전점검 및 보수 등의 조치 계획."
800,2420,알폼설치작업중 미설치구간에 올려진 단열재로 인하여 설치오인하여 단열재에 올라가 실족,후속공정 투입 전 관리감독자의 확인 및 개구부 표지 부착을 통한 시인성 확보와 개구부 발생 시 통제구획 및 시인성 확보를 위한 표지 부착 지도의 실행.
801,2422,"중량물인 콘크리트통 이동 중 주변작업자는 주의를 철저히 하여야 하나 주의부족, 중량물 주변통제  미흡, 중량물 인양방법 부적절 등의 원인이 복합적 작용하여 사고 발생","안전 관련 작업자 인식 고취와 중량물 취급 시 주변 통제 및 작업 기계 확인 철저, 상시 안전주의 인식 고취 및 사고 발생 감소 방안 마련, 위혐 작업 시 사전 안전 조치 마련."
802,2423,"재해자가 2층 튀어나온 보철근을 인지하지 못하고 시스템동바리 지주를 세우는 도중 지주가 보철근에 맞고, 시스템동바리 지주가 튕겨져나와 오른쪽 어깨를 타격",동바리 설치계획서에 따른 순서대로의 설치와 작업순서 및 방법의 TBM 전파 및 교육 실시와 안전교육 실시.
803,2424,해체자재(유로폼) 정리 미흡으로 동바리에 걸쳐진 해체자재(유로폼) 밟고 2.5m 정도 떨어짐,"해체작업 시 발판 고정상태 점검 및 자재정리에 대한 추가교육 실시와 창원 한마음병원에서의 치료 및 산업재해 처리 예정, 현장 작업 전 안전사고 사례 전파 및 안전교육 실시."
804,2425,건물 좌측면 부출입구에 설치된 가설경사로를 내려오던 중 경사로 발판 빈공간에 발이 끼이면서 넘어져 발목이 부러짐,"가설경사로의 밀실한 설치, 근로자 이동 중 고정 및 충격 방지, 과도한 경사 시 가설계단 설치, 주의·경고표지 부착, 이동통로의 정리·정돈 관리, 개인보호구 착용 및 안전시설물 점검 강화, 재해사례 전파를 통한 지속적인 재해예방활동 실시, 정기적인 안전교육을 통한 작업자의 안전의식 함양 및 위험요소 파악과 수정보완."
805,2426,- 오랜 시간 방수 작업을 하면서 앉았다 일어났다 반복하여 피로도 증가로 인한 근육 손상,"유사 재해 방지를 위한 작업 전 TBM 시 충분한 준비 운동 실시, 휴식 시간 보장 등 피로 회복 여건 보장, 정기 건강검진 등 징후 조기 식별 및 치료 조치."
806,2427,석고보드 해체 방법 불량- 석고보드 2P 겹침부의 볼트를 먼저 해체함에 따라 노출된 구간이 자중에 의하여 휘어지면서 부러지고 하부로 낙하.,"해체작업 순서 준수와 작업구간 접근 금지, 사고사례 전파 및 근로자 교육 실시를 통한 재발 방지 대책."
807,2430,"인적요인(무의식 행동과 착오), 무리한 작업 임의진행, 부적정한 작업으로 강행, 지도감독의 부족, 작업지시 방법 관리감독 소홀","현장 안전점검 정기적 수행, 공구류 관리 철저 및 관리대장 준수, 공도구 점검을 통해 인증받은 기계기구에 한하여 작업 허용, 관리감독 체계 강화."
808,2431,"작업발판 해체중으로 상부 안전난간 해체된 상태였으며, 갑작스런 우천과 작업종료 시간임박으로 지면으로 이동 중 근로자 부주의로 미끄러지면서 떨어짐","계단실 작업발판 설치기준 마련 및 적용, 사전작업허가제 실시, 근로자 특별교육 실시와 함께 계단실 작업에 대한 사전작업허가제 이행 관리 및 관리감독자의 수시 안전점검 실시."
809,2436,연결핀 체결 안된 가재 자재가 연결부에서 빠져 재해자의 우측 검지를 타격함,"재발 방지를 위한 기술적 예방대책으로 시스템비계 설치 시 연결핀 체결 조치, 교육적 예방대책으로 작업방법 및 사고사례 중심의 안전교육 실시, 관리적 예방대책으로 시스템비계 설치 순서 준수와 향후 조치 계획으로 재발교육 실시 및 안전교육 실시 확인이 포함됨."
810,2441,08.08 당일 최초 현장에 출역한 재해자가 작업개시 후 2시간도 안 돼 개인질병으로 쓰러진 것으로 판단 됨 (시공사가 한국병원 방문하여 의사 소견 등 청취 중),"최초 출역 근로자 안전교육 시 작업 중 근로자 상태를 면밀히 확인하고, 심각한 기저질환자는 혹서기에 출역금지 조치를 실시하며, 목포 한국병원 담당 의사 소견을 청취한 후 질병코드가 기재된 진단서를 발급받아 그에 따른 대응을 예정하는 조치."
811,2444,무더위로 인한 땀으로 작업복이 젖어 움직임이 부자연스러운 상황에 중심을 잃음,매일 작업 전 시행하는 체조 및 TBM을 철저하게 실시하고 근로자 휴식공간의 환기시설을 확충하여 온열질환과 안전사고 예방에 안전을 기할 계획.
812,2447,"외부 비계 상, 하부 작업자의 위치의 중첩 및 작업자의 부주의에 따른 가설 부자재 낙하사고","안전교육 및 지속적이고 반복적인 근로자 교육 실시, 감리단과 시공사의 재발 방지 대책 수립 지시, 현장 안전관리와 근로자 관리에 대한 상시 지도 점검을 통한 재발 방지 노력."
813,2448,5G기반 첨단제조로봇 실증지원센터 건설공사 현장에서 2층 바닥 보 부위 고정  작업을 위헤 전동드릴을 이용하여 유로폼에 구멍을 뚫기 위해  드릴링  작업 중  부주의로  전동드릴 공회전에 의해 오른쪽 새끼손가락이 끼여 재해발생,"작업 전 위험작업 인지 교육 실시와 사고사례 전파를 통한 안전의식 고취, 작업장 안전관리 상태 수시 점검 및 안전사항 철저 준수를 통한 향후 조치 계획."
814,2450,무더위로 인한 근로자의 주의력 저하 상태에서 하역된 Sheet Pile의 급작스런 요동으로 인하여 부딪힘 발생,"작업전 작업순서 및 절차에 대한 안전교육 철저와 작업중 작업상황의 수시 점검, 특이사항 발생 시 즉각적인 작업중지 실시."
815,2453,건물 2층에서 휴식 후 작업 재개를 위해 일어나는 중 어지러움을 호소하며 떨어짐(같이 작업하는 동료 진술),"작업자에 대한 안전교육 강화와 안전수칙 준수 지도, 안전사고 재발 방지를 위한 안전시설물 설치 및 관리 강화, 현장관리자에 대한 안전지도 강화."
816,2455,전동믹서기가 가동되는 중간에 레미탈을 투입하면서 포장지가 전동믹서기에 말려들어가면서 우측손이 함께 회전중인 믹서기에 말림 재해가 발생,현장 관리 감독의 철저함과 전동믹서기 가동 중 레미탈 투입 시 포장지가 믹서기에 말려들어가는 사고 방지를 위한 조치 계획.
817,2456,건물 2층에서 휴식 후 작업 재개를 위해 일어나는 중 어지러움을 호소하며 떨어짐(같이 작업하는 동료 진술),"작업자에 대한 안전교육 강화와 안전수칙 준수 지도, 안전사고 재발 방지를 위한 안전시설물 설치 및 관리 강화, 현장관리자에 대한 안전지도 강화."
818,2465,용매동 수조 내부 벽체 거푸집 해체 작업중 벽체 상부에 나와있던 철근에 오른쪽 손바닥을 베었음,안전조치 이행 및 교육 실시를 통한 재발 방지 대책과 안전조치 철저 및 안전교육 실시 지시를 포함한 향후 조치 계획.
819,2467,전동공구 손잡이를 사용하지 않고 장갑을 착용한 채 양손으로 사용하다 일어난 사고,"재발 방지 대책과 향후 조치 계획의 통합으로 재발 방지를 위한 협력회사 현장소장에 의한 대책 발표, 안전공구장에서의 현장 자체 특별교육 실시, 작업방법 변경, 전동드릴 사용 시 손잡이 설치 확인 및 추가 구매, 접점 관리 대상 선정 후 일일 관리, 전 근로자 대상 전파교육 및 수시교육 실시 완료가 이루어짐."
820,2468,"작업자 부주의 : 수압 TEST중 누수 발생시 배관 드레인 및 압력계를 통한 배관내 잔여 압력 확인하여 안전상태 확보 후 수리 하여야 하나, 미확인 상태에서 수리를 시도 함.","각종 배관류의 수압 TEST 중 누수 발생 시 배관 드레인 및 압력계 확인 후 누수 원인 제거와 휴업예상일수 4주에 따른 산업재해보상보험 처리, 현장 내 동일 공종 작업자 특별안전교육 실시 및 동종재해 재발 방지 협의체 회의 실시를 통한 재발 방지 대책 마련."
821,2470,재해자가 닥트개구부를 임의로 해체하여 전선작업 이동한후 개구부 덮개를 덮다가 추락,"개구부 덮개 고정 설치와 작업 전 안전 교육 실시, 사고 사례 전파를 통한 재발 방지 대책 마련."
822,2479,거푸집 해체작업 중 기해체된 자재를 즉시 안전한 장소로 이동시키지 않고 통로에 방치,"거푸집 해체 작업 시 기해체 자재의 즉시 안전한 장소 이동 및 적재 조치와 작업장 내 안전한 이동통로 확보, 재해자 치료 경과 확인 및 현장 안전관리자를 통한 작업자 공종별 안전사고 유형 교육을 통한 안전사고 사전 예방 실시."
823,2481,"작업발판 미고정, 작업발판 상태 불량을 인지하지 못하고 이동식 강관비계 사용 중 추락 발생","사고사례 전파교육 실시, 상태 불량한 가설 자재 반입 금지, 안전조치 후 작업 투입을 통한 동일 재해 예방."
824,2482,알폼 해체작업 중 작업자의 부주의 및 알폼 핀 선해체로 인해 알폼 자재가 낙하하여 손가락이 골절되는 협착사고가 발생함,"근로자 안전교육 실시, TBM 강화, 해체하는 폼의 핀만 해체하도록 교육 및 작업 전 안전교육 철저와 정기적 근로자 안전교육 시행."
825,2483,일체형 거푸집을 해체하기 위한 작업을 하던중 크레인으로 거푸집을 고정한 상태에서 벽체에 고정된 거푸집을 탈여하기위해서 동료들과 이체형 거푸집을 흔들던중 보강재에 좌측 제3수지 손가락 부딫혀 발생,근로자 특별 안전교육 실시와 작업전 위험작업에 대한 수시 위험성 평가 실시를 통한 재발 방지 대책 마련.
826,2488,자재 하역을 위한 전달 과정 중 상부 근로자의 착오로 인한 자재 낙하 (하부 근로자가 하역하는 자재를 잡은 것으로 인지),"시스템비계 설치 및 해체 작업에 대한 특별안전교육 실시, 하부 접근 금지 시설 확보, 근로자 위치 지정 실시 등 재발 방지를 위한 조치 계획."
827,2491,8월 4일 금요일 16:45경 영양군 일월면 용화리 산 56-1번지 일원에서 작업자 1명이 낙석방지망 설치를 위한 벌목작업후 내려오는 과정에서 기존 낙석방지망(PVC망에 안전대 고정)에 체결한 안전고리 이탈로 인한 경사면 7~8m 굴러 떨어져 사면하단부 낙석방지울타리에 걸림,"고소작업 전 안전교육 실시, 고소작업 시 현장관리자 상주 및 안전고정로프 설치 후 작업 실시와 피해자 후속조치 및 재발방지대책 수립 후 공사재개."
828,2493,세대내 욕실 벽돌쌓기 후 이동중 슬래브 바닥의 돌출부 철선에 걸려 넘어지는 과정에서 벽에 부딛힘,"작업 전후 주변 정리와 근로자 이동 동선 구간의 돌출부 점검 및 제거, 그리고 사고 재발 방지를 위한 안전교육 실시."
829,2494,해체 자재 정리 중 무리하게 힘을 주어 자재를 빼다가 왼쪽 손등을 잭서포트에 부딪힘,"사고사례 전파와 특별 안전 교육 실시, 2인1조 작업 및 정리도구 사용을 통한 무리한 인력 작업 방지, 그리고 현장 전 근로자에 대한 특별 안전 교육 및 작업방법과 자세 교육 실시."
830,2495,경기장 부지 내 도로 경계석 시공중 작업자 발이 스틸그레이팅이 미설치된 빗물받이에 빠지면서 아킬레스건을 다친 사고임.,"근로자 안전교육 철저 및 작업지휘자 배치 확인, 안전시설물 확인 철저와 유사사고 방지를 위한 근로자 안전교육 실시 및 현장 안전점검 강화."
831,2498,2인 1조로 작업을 진행했으나 신규 근로자라  해당 작업이 익숙하지 못했다고 판단,"유사 사고사례를 통한 위험작업 내용 전파, 신규 근로자 교육 철저 및 예의 주시, 2인 1조 작업체계 준수와 신규 근로자 교육 이력 확인을 통한 향후 조치 계획."
832,2499,"데크플레이트 상부 보행자 통로 확보 미흡, 바닥에 고정되지 않은 자재(강관파이프) 방치","근로자 이동통로 확보, 작업장 주변 자재 정리정돈, 안전교육 시 위험상황 전파교육 실시 및 작업자 이동통로 확보 확인과 작업장 주변 자재 정리정돈 지도의 실행."
833,2500,가시설 해체 작업  이동중 전선관(지장물)을 밟고 중심을 잃어 뒤로 넘어지면서 뒤쪽에 있던 띠장 및 보걸이에 부딪히며 발생한 재해,주작업장 주변 자재 정리 철저 및 작업 전 주변 정리와 근로자 특별 안전 교육 지도 감독 예정.
834,2501,사고자가 그당시 현장 9층 5호 세대 화장실 내부에서 해체 작업중 내 외부에서 발생한 열기로 인해 잠시 온열질환 증세가 발생하여 후면으로 쓰러지면서 우측어꺠 타박상과 머리 열상을 입었음,안전사고 방지 차원에서 작업 전 온열질환 예방을 위한 교육 실시와 자택 휴식 치료 중인 경과 확인.
835,2502,안전시설 및 발판을 사용하지 않고 난간을 도색하던 중 손이 미끄러져 떨어짐,"작업지휘자 배치, 안전대부착설비 및 안전고리 체결 확인, 작업발판 및 안전시설 조건 충족 확인 후 작업 실시의 철저한 이행."
836,2503,형틀자재 운반 및 인양 작업 중 크레인 기사와 작업자 신호가 맞지 않아 자재와 로프사이에 다리 끼임 발생,"시공사에서 자체 안전교육 실시, 감리에서 재발 방지 업무 지시 발송, 발주청에서 안전교육 및 현장 점검 후 위해 요소 시정 지시를 통해 재발 방지 대책을 마련하고, 8월 11일 현장 지도 후 지적 사항 완료 즉시 확인 점검을 계획함."
837,2504,"2023년 8월 4일 9시 30분 경 101동 지하2층에서 유로폼 자재정리를 하던 보통인부 000는 작업구간 내 바닥에 있는 시스템동바리 자재에 걸려 넘어지며, 우측 손으로 바닥을 짚다가 엄지손가락 부위 염좌발생","작업 전, 중, 후 작업공간 자재 정리와 TBM 시 작업 구간 이동 동선 확인을 통한 안전의식 개선 및 사고 사례 전파 관리."
838,2505,시스템 동바리 해체 정리 작업중 부주의로 지주자재를 좌측 안전화 옆쪽으로 놓으면서 작업자 본인 새끼발가락을 가격하며 골절되었음,"안전교육 시 무리한 작업 금지와 자재 정리 시 안전수칙 준수 교육, 현장 정리정돈 철저, 현장 수시 방문을 통한 근로자 교육 실시 여부 확인 및 현장 정리정돈 확인."
839,2513,본관동 1층 좌측 상부 스라브 골조공사 작업구간에서  콘크리트 인방 형틀 작업 중 이동하다 발을 헛디뎌 넘어지며 시스템 동바리에 오른쪽 무릎을 충격,근로자 이동통로 확보 및 작업장 주변 정리정돈을 통한 안전사고 예방과 사고 발생 시 현장소장 및 안전관리자에게 보고 후 즉각 조치 이행을 위한 교육 및 위험요인 평가와 방지대책 회의 후 근로자 전파 및 이행 확인.
840,2514,"재해자 부주의(급격한 하강 조작), 피로 및 더위로 인한 집중력 저하 등","달비계 작업 근로자를 대상으로 한 특별안전교육 실시, 폭염주의보/경보 시 외부 작업 중지 및 적정한 휴식시간 보장, 집중력 회복 지원과 함께 상신플러스(주) 측의 산재처리 예정."
841,2522,휴식을 위하여 외부 시스템 비계 계단을 이용하여 내려가던 중 미끄러짐 발생,현장 근로자 안전관리 교육과 시공사 안전관리 교육의 철저한 이행을 통한 재해 재발 방지 대책 마련.
842,2524,오른발로 합판을 밟은 상태에서 둥근톱을 들고 합판을 자르던중 합판을 받치고 있던 목재에 둥근톱이 걸려 밀리며 둥근톱날이 오른발 엄지 발가락 상부가 베임,"근로자 안전화 사이즈 확인 및 재지급 완료, 작업대 설치와 합판 절단, 특별안전보건교육 실시 및 슬라이딩 절단기 사용 계획."
843,2525,"작업장 이동중에는 바닥의 위험인자에 대한 주의를 요하며 이동을 하여야 하나, 재해자의 부주의로 인한 전도로 인하여 벽체 철근에 찔림","슬라브 위 돌출(각종 슬리브 등 배관류)에 대한 이동 중 위험요인 인식 교육 강화와 바닥 박리제 도포 후 후속 공종 근로자 이동 적절성 판단을 통한 작업 실시, 작업구간 내 위험요인 교육 강화 및 바닥 슬라브 설치 후 박리제 도포 후 일정 시간 이후 이동 교육 실시."
844,2529,램프구간 거푸집 설치 작업 중 사용중인 스킬을 바닥에 내려놓으려다 부주의로 스킬날이 허벅지에 스쳐 베임.,스킬 사용 후 사용자 신체가 아닌 거치대에 보관하고 회전체 공도구를 사용자 지정하여 관리하는 방안.
845,2530,현장주변 공터에 차량주차중 명일작업사항 확인하려 조수석문열고 조수석시트위에 도면 및 제반서류정리중 작업완료한 백호 복귀중 미비한 도로복수사항 복구중 후진하며 차량 미인지로 인한 협착사고,"작업 전 사전 작업계획 및 위험요인 교육과 장비 신호수 교육 실시, 피해자의 진료상황 수시 점검 및 현장 안전관리 활동 철저 시행."
846,2531,해체 작업 순서 미준수(U헤드 조정 시 한쪽만 과다하게 조정하여 편심 발생),안전 작업기준 교육 실시와 위험성 평가 반영을 통한 사고사례 전파 및 안전교육과 위험예지활동 강화를 통한 근로자 안전의식 관리 지속.
847,2536,카고크레인 적재함에 올려진 도시가스 폐관(D500mm)의 2줄걸이를 하기위해 하부 쐐기목설치를 위해  3본을 한 번에 무리하게 체인으로 결속하여 올리는 과정에서 체인이  빠지면서 도시가스 폐관이 떨어져 구르며 카고크레인 좌측 탐 문짝과 관사이에  협착당한 사고임.,자재 상하차 작업 시 2줄걸이 안전수칙 준수와 장비 주변 근로자 대피 등 안전 강화 조치 지시와 건설기계 및 근로자 안전법규 준수를 위한 관리감독 철저 지시.
848,2537,현장 내 지하 1층 동 출입구 사다리 위에서 전등설치 작업 중 작업자가 중심을 잃고 낙상,고소작업 시 사다리 작업을 지양하고 고소작업대 설치 등 안전한 작업환경 조성과 해당사례 관련 안전교육 실시.
849,2538,재해자가 신호수 사각지대에 위치 해서 고임목 받침을 도와주던중 손가락 끼임 사고 발생,"화물차 운전원 상하차 시 위험 구간 진입 금지 조치와 안전사고 예방을 위한 교육 실시, 안전교육 실시, 화물차 운전원 공사 참여 금지, 사각지대 발생 시 신호수 추가 배치, 자재 상하차 시 공사구역 설정 및 신호수 신호에 따른 작업 시행으로 안전사고 예방."
850,2542,"3층 바닥슬라브의 보 거푸짐 고정 철물 시공을 위하여 전동드릴을 사용하여 천공 작업을 하던 중, 전동드릴을 잡고 있던 왼손 장갑이 드릴에 말려 들어가면서 왼손 엄지손가락을 다침",전동드릴 등 회전력을 가진 공구 사용 시 장갑 착용 금지에 대한 작업자 교육 실시와 전 직원 대상 회전력 있는 공구 사용 시 장갑 착용 금지 고지.
851,2549,작업반장이 콘크리트타설중 지하3층 환기를 위한 자바라 꼬인 것을 풀기위하여 안전벨트 착용 없이 토사반출구(흙막이가시설설치)에난간을 넘어 출입하여지하5층으로 추락한 것으로 추정,안전관리계획 보완 및 시정명령에 따른 조치계획서 제출을 통한 추락사고 재발 방지 대책 수립과 이행.
852,2553,2023년 08월 01일(화) 13:30분경 212동 지상층 외벽 석공사용 비계 해체 정리중 온열질환으로 급작스럽게 쓰러지면서 안면부 입술부위가 바닥에 부딛힘,"폭염 최고 시간대 근로자 작업시간 조정, 주기적 휴식, 수분섭취를 포함한 재발 방지 대책과 향후 조치 계획."
853,2556,점심식사를 마치고 작업장으로 이동중 조립된 철근이 적재된 구간을 지나가다가 소지품을 철근 사이에 떨어뜨려 줍는 과정에서 철근 모서리에 왼쪽 안면부 긁힘(자상),"식사시간 관리감독자 배치 및 자재 구획정리와 접근금지조치 강화, 추가적 접근 제한 조치 이행."
854,2557,비계파이프가 차량용 덮개에 걸린 상태로 파이프를 무리하게 잡아 당기다가 우측어깨 인대 파열됨.,"자재 하역 작업 시 2인 1조 작업 실시, 주변 정리 및 불안정한 시설물 제거 후 작업 실시, 발주청 및 건설사업관리단 및 현장대리인 재발 방지 교육 실시."
855,2561,"벌목을 할 때는 나무가 쓰러지는 방향을 잘 살피면서 나무를 잘라야 하는데, 잘린 나무가 가지 무게로 인하여 쓰러지는 방향이 바뀌면서 작업자 어깨 위로 덮침.작업장소가 임야로서 주변에 나무 및 잡초가 무성하여 피하기가 쉽지 않았음.","관리감독자 주관 하에 작업 전 교육 실시, 개인보호구 착용 수시 확인, 당일 작업현장 사전점검 실시, 재발방지대책 특별교육 실시, 작업 전 안전교육 철저, 현장 사전점검, 유사사고 전파, 일일안전점검 철저, 개인별 보호장구 착용 철저, 작업도구 사전점검 철저에 대한 종합적 실행 계획."
856,2563,"핸드드릴 작동시 주위를 살핀후 작동시켰어야 하나  작업자의 부주의로 인해 사고가 발생함,","작업공구별 위험요인 및 사고발생 유형에 대한 안전교육과 위험성 평가 반영, 작업 전 개인 보호구 착용 상태 확인, 재발 방지 대책 특별 교육 실시, 개인 보호구 착용 상태 및 작업 장소 확인 후 작업 진행, 공종별 안전 점검 실시."
857,2565,"장비 작업 반경 설정 미흡, 장비 작업 반경 내 작업자 출입 통제 미흡, 장비 조종원과 작업자간의 의사소통 신호 정리 미흡","장비 작업 반경 설정과 안전 시설물 설치 후 작업자 통제를 철저히 관리하며, 안전 교육과 의사소통 신호 정비를 통해 현장 안전 관리의 철저함을 기하는 조치 계획."
858,2574,재해자가 작업간섭으로 풀었던 1단 메인스트러트 안전로프를 재설치하기 위하여 이동중 2번째 중간말뚝에서 중심을 잃고 터파기 토사바닥으로 떨어져 좌측발 뒷꿈치 골절,"안전대 걸이 시설 임의 해체 금지, 작업자 안전교육 및 안전대 착용 철저 준수와 현장 확인 및 공사 관계자 교육을 통한 재발 방지 대책 시행."
859,2575,안전한 이동통로 대신 위험하지만 단구간을 통해 작업장소로 빨리 이동하려는 작업자의 불안전한 행동이 사고를 유발하게 된것으로 추정됨,"작업통로 정비, 위험장소 접근금지, 안전시설물 보강, 작업근로자 안전 교육강화 등의 재발 방지 대책 수립."
860,2576,굴착기 후면 스티커 부착 후 평탄하지 않은 기초 사석 위를 이동하다 넘어짐,장비 후면 스티커 부착 및 정비 등의 작업 시 평탄한 구간으로 장비를 이동하여 작업을 이행하는 방안.
861,2580,2023년 7월 31일 오전 10시 경 (주)지형건설 가시설공 000씨가 201동~203동 사이 데크플레이트 상부에 설치된 실족방지망 가장자리 부분을 밟아 중심을 잃고 넘어지며 오른손 손목 부위를 다침,"중량물 인력운반 시 2인 1조 작업 실시, 근로자 T.B.M 시 교육 실시 및 관리감독자 상주하에 작업 실시, 전 공종 중량물 인력 운반 관련 특별 교육 실시."
862,2581,"자재 인양전 고정상태 최종 점검 소홀, 자재 인양시 낙하위험반경내 근로자 출입통제 미비, 크레인 자재인양시 신호수 또는 관리감독자 미배치","위험작업 전 작업자 특별안전교육 실시, 작업 전 위험성 평가 후 안전대책 수립 및 이행상태 확인, 자재 인양 시 신호수 배치로 낙하위험 반경 내 근로자 출입 통제, 자재 인양 시 지면에서 1m 이격하여 인양물 고정상태 확인 후 유도로프 설치 후 최종 인양, 재발방지 계획서 접수."
863,2584,2023년 07월 31일 09시20분경 스프링클러 설치 시설공사 2층 석면구간에서 경량철골틀을 설치하고 그 다음 석고텍스를 설치하면서 마지막 작업인 모서리 쪽판을 재단하여 경량철골틀 밑으로 쪽판을 끼던중 경량철골틀에 손이 끼여 꺽이면서 오른손등뼈가 골절되는 사고 발생,2인 1조 작업과 안전교육을 통한 위험 작업 사전 교육으로 사고 발생 미연 방지 및 교육 철저.
864,2585,데크플레이트 탈락으로 상부 콘크리트 작업자 2인 미끄러짐으로 상부 5M 높이에서 전도사고 발생,"작업 전 철골 및 타설에 대한 특별 교육 실시와 타설 전 용접 상태 부위별 관리, 그리고 반복적인 안전 교육 실시를 통한 재발 방지 대책 마련."
865,2589,중장비(포크레인) 이동 중 현장 내 철거되지 않은 통신 선로를 장비 운전자가 인식하지 못하고 후크걸이에 걸린 것이 옆에 있던 전신주를 파손,"현장 내 위험요소 표시와 중장비 운행 중 신호수 배치 등 관리 철저, 안전관리자의 체계적인 안전순찰 조직을 통한 안전관리 만전, 향후 현장 안전관리 철저 요청."
866,2590,슬라브 거푸집 설치작업을 위해 이동중 바닥에 놓여진 철근에 발이 걸려 넘어지면서 손을 짚음,"자재 정리 정돈 및 이동 통로 확보, 사고 사례 전파 교육과 재발 방지 현장 관리 감독 행정 안내의 실행."
867,2592,"자재를 미고정시킨 상태로 절단 작업진행,컨테이너 내부 등 올바르지 않은 장소에서 작업,근로자의 임의행동에 대한 교육 등 관리미흡","그라인더 작업 시 작업방법 및 장소 준수 관리감독, 특별안전교육에서 유사사고 사례 교육 및 위험성 평가 반영, 작업 전 작업자의 개인 보호구 착용 상태 확인, 특별 교육 실시, 작업방법 전파, 아침 조회 시 사고 사례 전파, 일일 안전 점검 실시, 미허가 장소 작업 금지 조치, 개인 보호구 착용 상태 및 작업장소 확인 후 작업 진행으로 재발 방지 대책 마련."
868,2594,가설공사 방음벽 설치 공사 중 약 3.6m 작업 발판 위에 잠시 내려놓았던 강관파이프(2m)를 작업발판 위 작업자 이동 중 파이프를 발로 건드려 재해자 어깨로 떨어져 사고가 발생함,"안전관리자의 주도로 현장 작업 전 교육 추가 진행, 고사 작업 등 위험작업 시 안전작업허가서 발행, 위험 작업 시 안전관리자 입회, 안전관리자 현장 점검 강화와 시공사가 최초 발주처를 신탁사로 기재하고 인허가기관에 보고함에 따른 사고조사 입력 지연에 대한 재발 방지 대책 준수 요청."
869,2596,정거장 3단 버팀보 상부에서 수평브레이싱 설치 작업 중 앵글(L형)을 설치 위치로 이동하기위해 잡아당기다 손이 빠지면서 뒤쪽에 있는 기둥파일(H빔)에 오른쪽 팔꿈치를 부딪힘,"근로자의 무리한 동작 금지와 2인 1조 작업 관리, TBM 일일안전교육 전파 교육 실시, 상부 가시설 작업 시 근로자의 손목, 무릎, 팔꿈치 보호대 안전장비 착용 검토 지시."
